station,channel,Unnamed: 0,lat,lon,elevation,local_depth,sampling_rate,cat_tp,cat_ts,cat_distance,tp_sta_lta,tp,ts,y,x,pp_distance,ps_distance
ZEFT,EN,0,32.968786,35.493747,803.0,0.0,200.0,12.47734668,,,2018-07-05T16:51:41.860000Z,2018-07-05T16:51:41.431436Z,2018-07-05T16:51:44.582830Z,46.5179078625,5.0,16.1961615202,16.1694581734
MNHM,EN,1,32.663572,35.552345,-132.0,0.0,200.0,23.3339920903,,,2018-07-05T16:51:42.215000Z,2018-07-05T16:51:41.965883Z,2018-07-05T16:51:46.223030Z,12.581124653,10.4853617374,20.8910144099,21.6163265512
RMOT,EN,2,32.851506,35.664467,12.0,0.0,200.0,9.70995414775,,,2018-07-05T16:51:40.240000Z,2018-07-05T16:51:40.215108Z,2018-07-05T16:51:42.887343Z,33.4897775925,20.9474597363,11.3884048847,14.6037475023
SPR,EN,3,32.864735,35.538822,-177.0,0.0,200.0,2.51261652171,,,2018-07-05T16:51:39.350000Z,2018-07-05T16:51:39.275218Z,2018-07-05T16:51:40.749555Z,34.9488428503,9.20996426338,6.95570306975,8.53774062831
MGDL,EN,4,32.840339,35.507188,-83.0,5.0,200.0,6.42499900826,,,2018-07-05T16:51:39.730000Z,2018-07-05T16:51:39.699090Z,2018-07-05T16:51:41.376148Z,32.235312914,6.25572170853,7.91671909615,8.47194055747
SHGL,EN,5,32.685752,35.604253,-166.0,4.0,200.0,21.1841171714,,,2018-07-05T16:51:42.610000Z,2018-07-05T16:51:42.325631Z,2018-07-05T16:51:46.545162Z,15.0512965275,15.3419047238,18.9743199369,20.390158991
GLHS,EN,7,32.713434,35.649608,356.0,2.0,200.0,19.4931652941,,,2018-07-05T16:51:41.995000Z,2018-07-05T16:51:41.910595Z,2018-07-05T16:51:45.576745Z,18.1347176585,19.5820128844,17.5417295315,19.5693419877
HDNS,EN,8,32.927987,35.641179,0.0,0.0,200.0,9.45239199134,,,2018-07-05T16:51:40.855000Z,2018-07-05T16:51:40.823272Z,2018-07-05T16:51:43.643589Z,41.9908256917,18.7602087186,13.451948328,15.9194716434
AMID,EN,10,32.927027,35.539343,274.0,6.0,200.0,6.4049881179,,,2018-07-05T16:51:40.445000Z,2018-07-05T16:51:40.380971Z,2018-07-05T16:51:42.776768Z,41.8754274563,9.25563953373,11.1494278313,12.135638767
RSPN,EN,11,32.970412,35.54634,376.0,0.0,200.0,10.9312493225,,,2018-07-05T16:51:41.110000Z,2018-07-05T16:51:41.115110Z,2018-07-05T16:51:44.177388Z,46.6999282514,9.90629395051,15.3048393654,16.127183958
CVYN,EN,12,32.595407,35.518607,323.0,2.0,200.0,31.1766299189,,,2018-07-05T16:51:43.445000Z,2018-07-05T16:51:43.366502Z,2018-07-05T16:51:48.416106Z,5.00027217763,7.32891868867,28.3943943914,28.621222252
ENGV,EN,13,32.781511,35.638451,-172.0,0.0,200.0,12.3548377737,,,2018-07-05T16:51:40.590000Z,2018-07-05T16:51:40.490785Z,2018-07-05T16:51:43.123172Z,25.7030673168,18.5278616705,11.7005079579,14.4526961702
KNHM,EN,14,32.88375,35.579223,-174.0,0.0,200.0,1.86003106706,,,2018-07-05T16:51:39.370000Z,2018-07-05T16:51:39.404223Z,2018-07-05T16:51:40.971138Z,37.0655387014,12.9816726702,7.8387999955,10.2551434503
TVR,EN,15,32.781325,35.539679,-127.0,0.0,200.0,10.4609758748,,,2018-07-05T16:51:39.875000Z,2018-07-05T16:51:39.846524Z,2018-07-05T16:51:41.689445Z,25.6740957037,9.29402927598,9.41628100009,10.6492245266
