station,channel,Unnamed: 0,lat,lon,elevation,local_depth,sampling_rate,cat_tp,cat_ts,cat_distance,tp_sta_lta,tp,ts,y,x,pp_distance,ps_distance
ZEFT,EN,0,32.968786,35.493747,803.0,0.0,200.0,13.7747332992,,,2018-07-04T19:45:42.915000Z,2018-07-04T19:45:43.489423Z,2018-07-04T19:45:46.290662Z,46.5179078625,5.0,16.428796316,15.4526295439
MNHM,EN,1,32.663572,35.552345,-132.0,0.0,200.0,22.4987861129,,,2018-07-04T19:45:43.420000Z,2018-07-04T19:45:43.821148Z,2018-07-04T19:45:47.930862Z,12.581124653,10.4853617374,20.5355515743,21.7169127179
RMOT,EN,2,32.851506,35.664467,12.0,0.0,200.0,8.54502303939,,,2018-07-04T19:45:41.620000Z,2018-07-04T19:45:41.664931Z,2018-07-04T19:45:43.729002Z,33.4897775925,20.9474597363,10.0850342625,11.3573524435
SPR,EN,3,32.864735,35.538822,-177.0,0.0,200.0,3.32472345547,,,2018-07-04T19:45:40.885000Z,2018-07-04T19:45:41.075196Z,2018-07-04T19:45:42.770683Z,34.9488428503,9.20996426338,6.52851120993,6.70193689458
MGDL,EN,4,32.840339,35.507188,-83.0,5.0,200.0,6.85501100531,,,2018-07-04T19:45:41.245000Z,2018-07-04T19:45:41.406922Z,2018-07-04T19:45:42.368018Z,32.235312914,6.25572170853,7.8655170074,7.9896558278
SHGL,EN,5,32.685752,35.604253,-166.0,4.0,200.0,20.1318071444,,,2018-07-04T19:45:43.590000Z,2018-07-04T19:45:43.931724Z,2018-07-04T19:45:48.852322Z,15.0512965275,15.3419047238,18.3516544333,19.7749275253
GLHS,EN,7,32.713434,35.649608,356.0,2.0,200.0,18.2659796286,,,2018-07-04T19:45:43.040000Z,2018-07-04T19:45:43.599998Z,2018-07-04T19:45:46.898826Z,18.1347176585,19.5820128844,16.686082118,18.2618908611
HDNS,EN,8,32.927987,35.641179,0.0,0.0,200.0,9.37130589399,,,2018-07-04T19:45:42.215000Z,2018-07-04T19:45:42.475816Z,2018-07-04T19:45:45.055905Z,41.9908256917,18.7602087186,12.6333147686,12.8655513129
HULT,EN,9,33.050382,35.610995,117.0,0.0,200.0,20.8881173559,,,2018-07-04T19:45:44.150000Z,2018-07-04T19:45:44.263449Z,2018-07-04T19:45:48.741747Z,55.5970299572,15.9279488333,24.0018279837,23.4270473388
AMID,EN,10,32.927027,35.539343,274.0,6.0,200.0,7.62950201244,,,2018-07-04T19:45:41.840000Z,2018-07-04T19:45:41.978227Z,2018-07-04T19:45:44.300307Z,41.8754274563,9.25563953373,11.0186745309,10.4346748523
RSPN,EN,11,32.970412,35.54634,376.0,0.0,200.0,12.004741476,,,2018-07-04T19:45:42.490000Z,2018-07-04T19:45:43.065767Z,2018-07-04T19:45:45.264301Z,46.6999282514,9.90629395051,15.2236646806,14.5083444307
CVYN,EN,12,32.595407,35.518607,323.0,2.0,200.0,30.4346188706,,,2018-07-04T19:45:44.705000Z,2018-07-04T19:45:45.774644Z,2018-07-04T19:45:50.437234Z,5.00027217763,7.32891868867,28.2158117625,29.2311360403
ENGV,EN,13,32.781511,35.638451,-172.0,0.0,200.0,11.0499033391,,,2018-07-04T19:45:41.840000Z,2018-07-04T19:45:42.070373Z,2018-07-04T19:45:43.755324Z,25.7030673168,18.5278616705,10.5262997048,12.2308630302
KNHM,EN,14,32.88375,35.579223,-174.0,0.0,200.0,2.12668154277,,,2018-07-04T19:45:40.900000Z,2018-07-04T19:45:41.075196Z,2018-07-04T19:45:42.365241Z,37.0655387014,12.9816726702,7.01403292941,7.37579646231
TVR,EN,15,32.781325,35.539679,-127.0,0.0,200.0,9.8600028165,,,2018-07-04T19:45:41.365000Z,2018-07-04T19:45:41.425351Z,2018-07-04T19:45:43.470993Z,25.6740957037,9.29402927598,8.94938140378,10.0608121536
