event time,cat_lat,cat_lon,cat_mag,cat_x,cat_y,delta_x,delta_y,pp_y,pp_x,pp_lat,pp_lon,pp_depth,pp_vp,ps_y,ps_x,ps_lat,ps_lon,ps_depth,ps_vp,pp_mag,ps_mag
2018-07-04T01:50:06.667000Z,32.848,35.583, 4.797476941 M ,13.337717787599999,33.0906053223,0.159117340705,0.5060380473780001,33.398511127,11.615565871500001,32.8507807398,35.564567043400004,8.0,4.5,32.8924730796,8.75145373878,32.8462433067,35.5339044945,7.0,4.0,4.738973055012599,4.736378892842999
2018-07-04T01:54:26.532000Z,32.859,35.585, 2.552366975 M ,13.5234967199,34.3139100234,0.159117340705,0.5060380473780001,33.398511127,11.4564485308,32.8507816834,35.5628636829,5.0,4.5,35.9287013638,10.8199791679,32.8735397368,35.556066188,9.0,4.0,2.659810371726431,2.7025625944345553
2018-07-04T03:57:39.993000Z,32.84,35.597, 3.288243713 M ,14.646418233199999,32.202231051300004,0.159117340705,0.5060380473780001,35.9287013638,11.9338005529,32.8735332897,35.5679927639,3.0,4.5,36.9407774586,8.59233639807,32.8826510581,35.5322169717,10.0,4.5,3.3578910368139807,3.431537108966877
2018-07-04T19:45:39.428000Z,32.843,35.572, 4.761445325 M ,12.3105455679,32.5338189118,0.159117340705,0.5060380473780001,31.8803969848,12.252035234300001,32.8371240329,35.571368571,10.0,4.5,31.8803969848,9.06968842019,32.8371403727,35.5373065853,10.0,4.5,5.105575616753138,5.111800924166858
2018-07-04T19:51:24.449000Z,32.852,35.578, 3.821342778 M ,12.870280584400001,33.535003757199995,0.159117340705,0.5060380473780001,32.8924730796,12.570269915699999,32.846223695300004,35.5747830594,10.0,4.5,33.398511127,12.8885045971,32.8507723644,35.5781939262,9.0,4.5,3.4605445031767514,3.4495912821688397
2018-07-05T04:00:03.956000Z,32.848,35.579, 2.975286543 M ,12.9640512017,33.0902980745,0.159117340705,0.5060380473780001,33.398511127,10.9790965086,32.8507843762,35.5577536011,8.0,4.5,31.8803969848,9.06968842019,32.8371403727,35.5373065853,6.0,4.0,2.973266101582776,2.9600496503660767
2018-07-05T16:51:36.987000Z,32.836,35.574, 2.957468776 M ,12.497979299,31.7555929331,0.159117340705,0.5060380473780001,35.4226633165,11.2973311901,32.868986210100005,35.5611741255,6.0,4.5,35.4226633165,12.252035234300001,32.8689803399,35.571396380900005,6.0,4.0,2.726198737129282,2.725555392878266
2018-07-06T05:38:54.227000Z,32.861,35.569, 2.760879312 M ,12.0288570922,34.5351275513,0.159117340705,0.5060380473780001,32.3864350322,12.411152575,32.8416738757,35.5730757277,10.0,4.5,32.8924730796,10.1835098051,32.8462375028,35.5492339584,10.0,4.5,2.5424310050449863,2.5453392975511866
2018-07-07T02:07:44.383000Z,32.837,35.59900000000001, 3.993414954 M ,33.8611590064,32.683206362,0.3487337488710001,0.571125115749,31.983006481900002,31.037303649499997,32.8307732959,35.5687555271,10.0,4.5,31.983006481900002,32.0835048962,32.8307480984,35.5799526134,9.0,4.5,3.90023524948641,3.89144386763757
2018-07-08T12:52:17.385000Z,32.846,35.578, 3.099346613 M ,12.870799732,25.2882245284,0.159116877041,0.430242078533,29.6867034188,13.5249345484,32.885551519,35.585042824,7.0,4.5,29.6867034188,12.0928826551,32.8855616846,35.5697065997,6.0,4.0,2.9492606559791064,2.939046575329634
2018-07-08T18:36:51.126000Z,32.854,35.572, 2.912091227 M ,12.3096414983,33.7569647301,0.15926115154999998,0.417115364608,34.2034598978,11.6260640632,32.858019741999996,35.5646852016,5.0,4.5,36.2890367209,10.8297583054,32.8767802533,35.5561731773,9.0,4.5,2.7660980849017327,2.813208944859484
2018-07-09T05:26:40.210000Z,32.869,35.574, 2.544967346 M ,12.4951975697,35.425030378,0.159117340705,0.5060380473780001,33.398511127,12.252035234300001,32.8507767359,35.5713804852,9.0,4.5,32.8924730796,11.2973311901,32.8462317024,35.561156873099996,10.0,4.5,2.7524523852554705,2.764248135675714
2018-07-10T19:25:20.385000Z,32.836,35.587, 2.661807031 M ,13.7125595328,31.756585792,0.15926115154999998,0.417115364608,35.4548059917,11.4668029116,32.869274294,35.562988927,5.0,4.5,36.2890367209,9.39640794148,32.8767869061,35.5408245872,10.0,4.5,2.562451267355219,2.621127983464227
2018-07-12T07:00:35.280000Z,32.871,35.575, 3.304634746 M ,12.5884087301,28.067882552600004,0.15926077561899998,0.341319396048,26.6229128917,11.9445581715,32.8580093511,35.5680950878,4.0,4.5,25.5989547036,10.6704719665,32.8488079905,35.554448499,10.0,4.5,3.1324438457490746,3.1943013781180154
2018-07-13T06:06:45.300000Z,32.879,35.593, 2.620838931 M ,14.268651751300002,36.5384822606,0.159117340705,0.5060380473780001,35.4226633165,12.0929178936,32.8689813757,35.5696926718,6.0,4.5,36.4347394112,12.0929178936,32.8780831779,35.5697004496,5.0,3.5,2.637612047699693,2.6318247974213813
2018-07-18T15:24:09.149000Z,32.865,35.574, 2.860077441 M ,12.4955348376,34.9802500817,0.159117340705,0.5060380473780001,32.3864350322,12.252035234300001,32.8416749339,35.5713725417,5.0,4.5,33.398511127,11.2973311901,32.850782604,35.5611603224,6.0,4.0,2.7812806894312945,2.790071141530659
2018-07-27T11:56:37.960000Z,32.873000000000005,35.564, 2.751016607 M ,11.560956360899999,35.8691482311,0.15926115154999998,0.417115364608,32.5349984394,11.3075417601,32.843016803000005,35.5612637322,6.0,4.5,32.5349984394,8.759363335269999,32.843028438000005,35.5339877085,8.0,4.0,2.8085424298500876,2.8347697719303317
