station,channel,Unnamed: 0,lat,lon,elevation,local_depth,sampling_rate,cat_tp,cat_ts,cat_distance,tp_sta_lta,tp,ts,y,x,pp_distance,ps_distance
ZEFT,EN,0,32.968786,35.493747,803.0,0.0,200.0,17.6674717557,,,2018-08-08T23:21:14.555000Z,2018-08-08T23:21:14.028869Z,2018-08-08T23:21:17.210811Z,47.3134113659,23.9993696842,19.212980961,19.1719942894
MNHM,EN,1,32.663572,35.552345,-132.0,0.0,200.0,19.7588469413,,,2018-08-08T23:21:14.605000Z,2018-08-08T23:21:14.063455Z,2018-08-08T23:21:17.487501Z,13.3871487305,29.5499621897,21.2291199565,20.8714682798
RMOT,EN,2,32.851506,35.664467,12.0,0.0,200.0,6.31270298125,,,2018-08-08T23:21:12.170000Z,2018-08-08T23:21:12.126621Z,2018-08-08T23:21:14.098042Z,34.3158883803,39.9718910769,13.6025488218,12.1841338834
SPR,EN,3,32.864735,35.538822,-177.0,0.0,200.0,6.43532870759,,,2018-08-08T23:21:11.935000Z,2018-08-08T23:21:11.815344Z,2018-08-08T23:21:13.544660Z,35.7524305557,28.2316080758,11.2094520161,10.642508913
MGDL,EN,4,32.840339,35.507188,-83.0,5.0,200.0,8.60379923142,,,2018-08-08T23:21:12.160000Z,2018-08-08T23:21:12.126621Z,2018-08-08T23:21:14.063455Z,33.0332310955,25.2825903503,11.6613653101,11.3994365825
SHGL,EN,5,32.685752,35.604253,-166.0,4.0,200.0,16.8075224421,,,2018-08-08T23:21:14.500000Z,2018-08-08T23:21:14.098042Z,2018-08-08T23:21:17.764192Z,15.8666273831,34.4017601428,19.3516444457,18.6869174195
GLHS,EN,7,32.713434,35.649608,356.0,2.0,200.0,14.5098730745,,,2018-08-08T23:21:13.630000Z,2018-08-08T23:21:13.440901Z,2018-08-08T23:21:16.657430Z,18.958178623,38.6359459696,17.9005816068,16.9509274311
HDNS,EN,8,32.927987,35.641179,0.0,0.0,200.0,10.8666813082,,,2018-08-08T23:21:13.010000Z,2018-08-08T23:21:12.991279Z,2018-08-08T23:21:15.619840Z,42.8127546997,37.7682800271,16.2046132153,15.1855231965
HULT,EN,9,33.050382,35.610995,117.0,0.0,200.0,23.7697767557,,,2018-08-08T23:21:15.135000Z,2018-08-08T23:21:14.789768Z,2018-08-08T23:21:19.320576Z,56.4135386824,34.9097867623,26.6368301052,26.148546074
AMID,EN,10,32.927027,35.539343,274.0,6.0,200.0,11.4796961358,,,2018-08-08T23:21:12.810000Z,2018-08-08T23:21:12.818348Z,2018-08-08T23:21:15.170217Z,42.6791049614,28.2639484409,14.7244641938,14.3263169795
RSPN,EN,11,32.970412,35.54634,376.0,0.0,200.0,15.6499380897,,,2018-08-08T23:21:13.650000Z,2018-08-08T23:21:13.406315Z,2018-08-08T23:21:16.173221Z,47.5048571856,28.9053049759,18.3873500976,18.0389073948
CVYN,EN,12,32.595407,35.518607,323.0,2.0,200.0,27.8850913086,,,2018-08-08T23:21:15.655000Z,2018-08-08T23:21:15.412322Z,2018-08-08T23:21:19.735612Z,5.80024915019,26.4080488938,28.2957562558,28.1615451161
ENGV,EN,13,32.781511,35.638451,-172.0,0.0,200.0,7.16409976212,,,2018-08-08T23:21:12.970000Z,2018-08-08T23:21:12.264966Z,2018-08-08T23:21:14.132627Z,26.5245214274,37.5672658042,13.2629200718,11.9996781951
ZRT,EN,14,33.101487,35.290087,678.0,0.0,200.0,41.1997118253,,,2018-08-08T23:21:18.325000Z,2018-08-08T23:21:17.695019Z,2018-08-08T23:21:23.816798Z,62.0508598154,5.0,40.8523765456,41.3140136702
MLDT,EN,15,32.588417,35.43804,90.0,0.0,200.0,31.4704464433,,,2018-08-08T23:21:16.185000Z,2018-08-08T23:21:15.861944Z,2018-08-08T23:21:20.980720Z,5.00963937389,18.8615154994,31.2093007006,31.3332353381
KNHM,EN,16,32.88375,35.579223,-174.0,0.0,200.0,5.53884762074,,,2018-08-08T23:21:11.765000Z,2018-08-08T23:21:11.746171Z,2018-08-08T23:21:13.406315Z,37.8763670233,31.9992368991,11.7969186675,10.9041769779
TVR,EN,17,32.781325,35.539679,-127.0,0.0,200.0,8.30915082638,,,2018-08-08T23:21:12.125000Z,2018-08-08T23:21:12.057448Z,2018-08-08T23:21:14.098042Z,26.4778417863,28.3335048357,11.8394888129,11.2991799605
ALMT,EN,18,32.707982,35.546817,64.0,0.0,200.0,15.1424265786,,,2018-08-08T23:21:13.405000Z,2018-08-08T23:21:13.337143Z,2018-08-08T23:21:15.412322Z,18.3240563794,29.0205486325,17.0105354032,16.6072488684
