station,channel,Unnamed: 0,lat,lon,elevation,local_depth,sampling_rate,cat_tp,cat_ts,cat_distance,tp_sta_lta,tp,ts,y,x,pp_distance,ps_distance
ZEFT,EN,0,32.968786,35.493747,803.0,0.0,200.0,16.5500762541,,,2018-07-18T15:24:13.015000Z,2018-07-18T15:24:12.588383Z,2018-07-18T15:24:15.182358Z,46.5179078625,5.0,13.7756902061,14.2374602923
MNHM,EN,1,32.663572,35.552345,-132.0,0.0,200.0,19.3049496631,,,2018-07-18T15:24:14.535000Z,2018-07-18T15:24:14.352286Z,2018-07-18T15:24:18.744749Z,12.581124653,10.4853617374,23.6642474401,23.7162064369
RMOT,EN,2,32.851506,35.664467,12.0,0.0,200.0,8.59377517961,,,2018-07-18T15:24:11.925000Z,2018-07-18T15:24:11.896657Z,2018-07-18T15:24:13.937250Z,33.4897775925,20.9474597363,11.5202939277,10.7332473414
SPR,EN,3,32.864735,35.538822,-177.0,0.0,200.0,4.58801685674,,,2018-07-18T15:24:10.795000Z,2018-07-18T15:24:10.720722Z,2018-07-18T15:24:11.989718Z,34.9488428503,9.20996426338,6.53734927327,6.90174113005
MGDL,EN,4,32.840339,35.507188,-83.0,5.0,200.0,6.28680353589,,,2018-07-18T15:24:11.470000Z,2018-07-18T15:24:11.412449Z,2018-07-18T15:24:13.211888Z,32.235312914,6.25572170853,8.52295563476,9.12023697538
SHGL,EN,5,32.685752,35.604253,-166.0,4.0,200.0,16.9620155813,,,2018-07-18T15:24:15.665000Z,2018-07-18T15:24:14.317700Z,2018-07-18T15:24:19.125199Z,15.0512965275,15.3419047238,21.6661039396,21.5083420633
GLHS,EN,7,32.713434,35.649608,356.0,2.0,200.0,15.3598680676,,,2018-07-18T15:24:14.070000Z,2018-07-18T15:24:14.006423Z,2018-07-18T15:24:17.707159Z,18.1347176585,19.5820128844,19.9846524075,19.6081348787
HDNS,EN,8,32.927987,35.641179,0.0,0.0,200.0,11.9653636485,,,2018-07-18T15:24:09.530000Z,2018-07-18T15:24:12.000416Z,2018-07-18T15:24:13.764318Z,41.9908256917,18.7602087186,11.6118602296,11.0225713465
HULT,EN,9,33.050382,35.610995,117.0,0.0,200.0,24.0608271342,,,,2018-07-18T15:24:13.418455Z,2018-07-18T15:24:17.810918Z,55.5970299572,15.9279488333,21.5187680436,21.3337080495
AMID,EN,10,32.927027,35.539343,274.0,6.0,200.0,10.6138445668,,,2018-07-18T15:24:11.515000Z,2018-07-18T15:24:11.412449Z,2018-07-18T15:24:13.487628Z,41.8754274563,9.25563953373,8.86918789198,9.13632181121
RSPN,EN,11,32.970412,35.54634,376.0,0.0,200.0,15.150179945,,,2018-07-18T15:24:12.220000Z,2018-07-18T15:24:12.242520Z,2018-07-18T15:24:14.559804Z,46.6999282514,9.90629395051,12.6783699668,12.8182909385
CVYN,EN,12,32.595407,35.518607,323.0,2.0,200.0,27.2773072517,,,2018-07-18T15:24:16.035000Z,2018-07-18T15:24:15.633565Z,2018-07-18T15:24:20.911039Z,5.00027217763,7.32891868867,31.2013015976,31.33703879
ENGV,EN,13,32.781511,35.638451,-172.0,0.0,200.0,8.53975177854,,,2018-07-18T15:24:12.930000Z,2018-07-18T15:24:12.761315Z,2018-07-18T15:24:15.562807Z,25.7030673168,18.5278616705,13.595760421,13.112975553
KNHM,EN,14,32.88375,35.579223,-174.0,0.0,200.0,5.3072140166,,,2018-07-18T15:24:10.465000Z,2018-07-18T15:24:10.478618Z,2018-07-18T15:24:11.204931Z,37.0655387014,12.9816726702,6.60714172333,6.43037217572
TVR,EN,15,32.781325,35.539679,-127.0,0.0,200.0,6.90664125118,,,2018-07-18T15:24:12.190000Z,2018-07-18T15:24:12.000416Z,2018-07-18T15:24:14.179354Z,25.6740957037,9.29402927598,11.6870833855,11.8879980968
ALMT,EN,16,32.707982,35.546817,64.0,0.0,200.0,14.4869726081,,,2018-07-18T15:24:13.645000Z,2018-07-18T15:24:13.383869Z,2018-07-18T15:24:16.842501Z,17.519026228,9.96541736194,18.9090008049,19.0001299545
