,event time,cat_lat,cat_lon,cat_mag,cat_x,cat_y,delta_x,delta_y,pp_y,pp_x,pp_lat,pp_lon,pp_depth,pp_vp,ps_y,ps_x,ps_lat,ps_lon,ps_depth,ps_vp
0,2018-07-04T01:50:06.667000Z,32.848,35.583, 4.797476941 M ,13.3377177876,33.0906053223,0.159117340705,0.506038047378,33.398511127,11.6155658715,32.8957053505,35.6690593551,8.0,4.5,32.8924730796,8.75145373878,32.8911809369,35.6258315814,7.0,4.0
1,2018-07-04T01:54:26.532000Z,32.859,35.585, 2.552366975 M ,13.5234967199,34.3139100234,0.159117340705,0.506038047378,33.398511127,11.4564485308,32.8957070174,35.6666578177,5.0,4.5,35.9287013638,10.8199791679,32.9184679465,35.6570522527,9.0,4.0
2,2018-07-04T03:57:39.993000Z,32.84,35.597, 3.288243713 M ,14.6464182332,32.2022310513,0.159117340705,0.506038047378,35.9287013638,11.9338005529,32.9184564338,35.6738630753,3.0,4.5,36.9407774586,8.59233639807,32.9275893906,35.6234307936,10.0,4.5
3,2018-07-04T19:45:39.428000Z,32.843,35.572, 4.761445325 M ,12.3105455679,32.5338189118,0.159117340705,0.506038047378,31.8803969848,12.2520352343,32.8820457623,35.6786651296,10.0,4.5,31.8803969848,9.06968842019,32.8820765625,35.6306344716,10.0,4.5
4,2018-07-04T19:51:24.449000Z,32.852,35.578, 3.821342778 M ,12.8702805844,33.5350037572,0.159117340705,0.506038047378,32.8924730796,12.5702699157,32.8911439697,35.683468448,10.0,4.5,33.398511127,12.8885045971,32.8956911876,35.6882716517,9.0,4.5
5,2018-07-05T04:00:03.956000Z,32.848,35.579, 2.975286543 M ,12.9640512017,33.0902980745,0.159117340705,0.506038047378,33.398511127,10.9790965086,32.8957118801,35.6594532051,8.0,4.5,31.8803969848,9.06968842019,32.8820765625,35.6306344716,6.0,4.0
6,2018-07-05T16:51:36.987000Z,32.836,35.574, 2.957468776 M ,12.497979299,31.7555929331,0.159117340705,0.506038047378,35.4226633165,11.2973311901,32.9139122526,35.6642567656,6.0,4.5,35.4226633165,12.2520352343,32.9139020406,35.6786660303,6.0,4.0
7,2018-07-06T05:38:54.227000Z,32.861,35.569, 2.760879312 M ,12.0288570922,34.5351275513,0.159117340705,0.506038047378,32.3864350322,12.411152575,32.8865948776,35.6810667862,10.0,4.5,32.8924730796,10.1835098051,32.891168626,35.6474454107,10.0,4.5
8,2018-07-07T02:07:44.383000Z,32.837,35.599, 3.993414954 M ,33.8611590064,32.683206362,0.348733748871,0.571125115749,31.9830064819,31.0373036495,32.8756095282,35.7571283549,10.0,4.5,31.9830064819,32.0835048962,32.87557956,35.7728712379,9.0,4.5
9,2018-07-08T12:52:17.385000Z,32.846,35.578, 3.099346613 M ,12.870799732,25.2882245284,0.159116877041,0.430242078533,29.6867034188,13.5249345484,32.9304673508,35.7034813746,7.0,4.5,29.6867034188,12.0928826551,32.9304840405,35.6812742282,6.0,4.0
