event_time,lat,lon,magnitude
2018-07-05T04:00:03.956000Z,32.848,35.579, 2.975286543 M 
2018-07-05T02:24:18.996000Z,32.86,35.576, 2.554942484 M 
2018-07-04T21:49:26.221000Z,32.864,35.574, 3.829931881 M 
2018-07-04T20:14:56.917000Z,32.844,35.586, 3.50624972 M 
2018-07-04T20:08:29.579000Z,32.865,35.574, 3.077315906 M 
2018-07-04T19:51:24.449000Z,32.852,35.578, 3.821342778 M 
2018-07-04T19:45:39.428000Z,32.843,35.572, 4.761445325 M 
2018-07-04T05:57:22.444000Z,32.851,35.588, 3.685430056 M 
2018-07-04T05:22:37.830000Z,32.849,35.574, 2.952048618 M 
2018-07-04T04:19:17.356000Z,32.86,35.573, 3.089588225 M 
2018-07-04T04:13:45.959000Z,32.85,35.576, 2.638246486 M 
2018-07-04T04:08:29.908000Z,32.837,35.595, 3.071532367 M 
2018-07-04T03:57:39.993000Z,32.84,35.597, 3.288243713 M 
2018-07-04T03:51:59.341000Z,32.846,35.573, 4.509111101 M 
2018-07-04T03:41:21.647000Z,32.842,35.578, 2.590236717 M 
2018-07-04T03:39:26.957000Z,32.838,35.59, 2.634762091 M 
2018-07-04T03:21:44.930000Z,32.845,35.571, 3.25779685 M 
2018-07-04T01:58:13.352000Z,32.85,35.578, 3.662987681 M 
2018-07-04T01:54:26.532000Z,32.859,35.585, 2.552366975 M 
2018-07-04T01:50:06.667000Z,32.848,35.583, 4.797476941 M 
2018-07-02T05:59:34.981000Z,32.875,35.594, 2.630528318 M 
2018-07-01T12:47:29.535000Z,32.908,35.456, automatic
