station,channel,Unnamed: 0,lat,lon,elevation,local_depth,sampling_rate,cat_tp,cat_ts,cat_distance,tp_sta_lta,tp,ts,y,x,pp_distance,ps_distance
ZEFT,EN,0,32.968786,35.493747,803.0,0.0,200.0,13.6755138407,,,2018-07-12T07:00:38.355000Z,2018-07-12T07:00:38.270528Z,2018-07-12T07:00:41.034909Z,46.5179078625,5.0,14.1570740191,13.0228483544
MNHM,EN,1,32.663572,35.552345,-132.0,0.0,200.0,24.2286217896,,,,2018-07-12T07:00:39.929157Z,2018-07-12T07:00:44.352167Z,12.581124653,10.4853617374,23.7048845032,24.4523331776
RMOT,EN,2,32.851506,35.664467,12.0,0.0,200.0,7.28585915819,,,2018-07-12T07:00:37.405000Z,2018-07-12T07:00:37.349068Z,2018-07-12T07:00:39.560573Z,33.4897775925,20.9474597363,10.8625550616,10.5809194004
SPR,EN,3,32.864735,35.538822,-177.0,0.0,200.0,5.33684922048,,,2018-07-12T07:00:36.475000Z,2018-07-12T07:00:36.446036Z,2018-07-12T07:00:37.809798Z,34.9488428503,9.20996426338,6.83310006278,6.1090620576
MGDL,EN,4,32.840339,35.507188,-83.0,5.0,200.0,9.12036950416,,,2018-07-12T07:00:37.165000Z,2018-07-12T07:00:37.127917Z,2018-07-12T07:00:38.970838Z,32.235312914,6.25572170853,9.01641868431,8.80884704193
SHGL,EN,5,32.685752,35.604253,-166.0,4.0,200.0,21.4784587629,,,2018-07-12T07:00:40.750000Z,2018-07-12T07:00:40.518892Z,2018-07-12T07:00:45.513207Z,15.0512965275,15.3419047238,21.5317765239,22.2381753969
GLHS,EN,7,32.713434,35.649608,356.0,2.0,200.0,19.1106384322,,,2018-07-12T07:00:39.395000Z,2018-07-12T07:00:39.357851Z,2018-07-12T07:00:43.799291Z,18.1347176585,19.5820128844,19.6681703484,20.3116384354
HDNS,EN,8,32.927987,35.641179,0.0,0.0,200.0,7.06068311952,,,2018-07-12T07:00:37.510000Z,2018-07-12T07:00:37.533360Z,2018-07-12T07:00:38.362674Z,41.9908256917,18.7602087186,11.1172624298,10.0161300761
HULT,EN,9,33.050382,35.610995,117.0,0.0,200.0,19.1598556262,,,2018-07-12T07:00:39.505000Z,2018-07-12T07:00:39.431568Z,2018-07-12T07:00:43.762433Z,55.5970299572,15.9279488333,21.3616998543,20.1431013073
AMID,EN,10,32.927027,35.539343,274.0,6.0,200.0,7.37798607212,,,2018-07-12T07:00:37.105000Z,2018-07-12T07:00:37.109488Z,2018-07-12T07:00:38.841834Z,41.8754274563,9.25563953373,9.08538042875,7.74874563363
RSPN,EN,11,32.970412,35.54634,376.0,0.0,200.0,11.1070932409,,,2018-07-12T07:00:37.780000Z,2018-07-12T07:00:37.791369Z,2018-07-12T07:00:40.058161Z,46.6999282514,9.90629395051,12.7901291894,11.4689494808
CVYN,EN,12,32.595407,35.518607,323.0,2.0,200.0,32.2701638035,,,2018-07-12T07:00:41.350000Z,2018-07-12T07:00:41.219202Z,2018-07-12T07:00:46.489955Z,5.00027217763,7.32891868867,31.3124354216,32.1358749637
ENGV,EN,13,32.781511,35.638451,-172.0,0.0,200.0,11.5946094607,,,2018-07-12T07:00:38.390000Z,2018-07-12T07:00:38.086236Z,2018-07-12T07:00:40.942764Z,25.7030673168,18.5278616705,13.1898685289,13.5398253812
KNHM,EN,14,32.88375,35.579223,-174.0,0.0,200.0,1.44614607272,,,2018-07-12T07:00:36.090000Z,2018-07-12T07:00:36.077453Z,2018-07-12T07:00:37.054200Z,37.0655387014,12.9816726702,6.45036437602,5.28753901144
TVR,EN,15,32.781325,35.539679,-127.0,0.0,200.0,11.9382321906,,,2018-07-12T07:00:37.655000Z,2018-07-12T07:00:37.533360Z,2018-07-12T07:00:39.837011Z,25.6740957037,9.29402927598,11.8494082972,12.2438294456
