station,channel,Unnamed: 0,lat,lon,elevation,local_depth,sampling_rate,cat_tp,cat_ts,cat_distance,tp_sta_lta,tp,ts,y,x,pp_distance,ps_distance
ZEFT,EN,0,32.968786,35.493747,803.0,0.0,200.0,15.8395604523,,,2018-07-04T01:50:10.630000Z,2018-07-04T01:50:10.795103Z,2018-07-04T01:50:13.610478Z,46.5179078625,5.0,16.360962426,15.4314188323
MNHM,EN,1,32.663572,35.552345,-132.0,0.0,200.0,20.6895797624,,,2018-07-04T01:50:11.465000Z,2018-07-04T01:50:11.452250Z,2018-07-04T01:50:15.256745Z,12.581124653,10.4853617374,22.3778990299,21.5968223555
RMOT,EN,2,32.851506,35.664467,12.0,0.0,200.0,7.59142184275,,,2018-07-04T01:50:09.545000Z,2018-07-04T01:50:09.550002Z,2018-07-04T01:50:11.867286Z,33.4897775925,20.9474597363,12.2841652818,14.0688122801
SPR,EN,3,32.864735,35.538822,-177.0,0.0,200.0,4.56295031049,,,2018-07-04T01:50:08.635000Z,2018-07-04T01:50:08.754516Z,2018-07-04T01:50:10.172556Z,34.9488428503,9.20996426338,8.66335827201,7.47985411188
MGDL,EN,4,32.840339,35.507188,-83.0,5.0,200.0,7.1606355321,,,2018-07-04T01:50:09.095000Z,2018-07-04T01:50:09.134966Z,2018-07-04T01:50:11.037214Z,32.235312914,6.25572170853,9.77224147949,7.5432275486
SHGL,EN,5,32.685752,35.604253,-166.0,4.0,200.0,18.125479648,,,2018-07-04T01:50:11.595000Z,2018-07-04T01:50:11.763527Z,2018-07-04T01:50:16.259749Z,15.0512965275,15.3419047238,20.4268153367,20.3261045198
GLHS,EN,7,32.713434,35.649608,356.0,2.0,200.0,16.1755492457,,,2018-07-04T01:50:11.110000Z,2018-07-04T01:50:11.244732Z,2018-07-04T01:50:14.945468Z,18.1347176585,19.5820128844,18.8390282408,19.4746417804
HDNS,EN,8,32.927987,35.641179,0.0,0.0,200.0,10.4249272678,,,2018-07-04T01:50:09.860000Z,2018-07-04T01:50:09.965038Z,2018-07-04T01:50:12.731944Z,41.9908256917,18.7602087186,13.7431361411,15.2300753938
HULT,EN,9,33.050382,35.610995,117.0,0.0,200.0,22.6730947398,,,2018-07-04T01:50:11.895000Z,2018-07-04T01:50:11.936458Z,2018-07-04T01:50:16.536439Z,55.5970299572,15.9279488333,23.9481225583,24.7865825368
AMID,EN,10,32.927027,35.539343,274.0,6.0,200.0,9.71919201644,,,2018-07-04T01:50:09.525000Z,2018-07-04T01:50:09.584589Z,2018-07-04T01:50:11.625181Z,41.8754274563,9.25563953373,11.7137178886,11.2368810908
RSPN,EN,11,32.970412,35.54634,376.0,0.0,200.0,14.0635860695,,,2018-07-04T01:50:10.230000Z,2018-07-04T01:50:10.345488Z,2018-07-04T01:50:12.593599Z,46.6999282514,9.90629395051,15.426428103,15.357631661
CVYN,EN,12,32.595407,35.518607,323.0,2.0,200.0,28.7109274058,,,2018-07-04T01:50:12.720000Z,2018-07-04T01:50:12.731944Z,2018-07-04T01:50:17.643202Z,5.00027217763,7.32891868867,29.7288136409,28.7159801874
ENGV,EN,13,32.781511,35.638451,-172.0,0.0,200.0,8.99351280549,,,2018-07-04T01:50:09.890000Z,2018-07-04T01:50:09.965038Z,2018-07-04T01:50:12.559012Z,25.7030673168,18.5278616705,13.1826125123,14.0962154945
KNHM,EN,14,32.88375,35.579223,-174.0,0.0,200.0,4.01518549326,,,2018-07-04T01:50:08.600000Z,2018-07-04T01:50:08.616171Z,2018-07-04T01:50:10.068797Z,37.0655387014,12.9816726702,9.06242875929,9.31533707881
TVR,EN,15,32.781325,35.539679,-127.0,0.0,200.0,8.44266154637,,,2018-07-04T01:50:09.320000Z,2018-07-04T01:50:09.411657Z,2018-07-04T01:50:11.417663Z,25.6740957037,9.29402927598,11.4500766284,10.1584196189
