station,channel,Unnamed: 0,lat,lon,elevation,local_depth,sampling_rate,cat_tp,cat_ts,cat_distance,tp_sta_lta,tp,ts,y,x,pp_distance,ps_distance
MNHM,EN,1,32.663572,35.552345,-132.0,0.0,200.0,18.8021071029,,,2018-07-31T01:30:55.290000Z,2018-07-31T01:30:54.141387Z,2018-07-31T01:30:57.634605Z,5.00089903487,9.22714813867,21.8653172848,21.2204767229
RMOT,EN,2,32.851506,35.664467,12.0,0.0,200.0,7.36223057482,,,2018-07-31T01:30:52.270000Z,2018-07-31T01:30:52.169966Z,2018-07-31T01:30:53.553419Z,25.9082378585,19.6918745779,12.9689047964,12.4238067201
SPR,EN,3,32.864735,35.538822,-177.0,0.0,200.0,6.17559736207,,,2018-07-31T01:30:53.285000Z,2018-07-31T01:30:51.858689Z,2018-07-31T01:30:53.311315Z,27.3687769328,7.95458224509,11.2531164806,8.94650823686
MGDL,EN,4,32.840339,35.507188,-83.0,5.0,200.0,7.83480656414,,,2018-07-31T01:30:52.260000Z,2018-07-31T01:30:52.239139Z,2018-07-31T01:30:53.795523Z,24.6556207476,5.0,12.0577241552,9.65406919951
GLHS,EN,7,32.713434,35.649608,356.0,2.0,200.0,14.0712363643,,,2018-07-31T01:30:53.945000Z,2018-07-31T01:30:53.449660Z,2018-07-31T01:30:56.493257Z,10.5533508383,18.3244954817,18.0415736003,17.8856048948
HDNS,EN,8,32.927987,35.641179,0.0,0.0,200.0,11.929712505,,,2018-07-31T01:30:53.165000Z,2018-07-31T01:30:52.965452Z,2018-07-31T01:30:55.594012Z,34.4095580903,17.5057003904,15.4453834052,14.5977283489
AMID,EN,10,32.927027,35.539343,274.0,6.0,200.0,11.8181056053,,,2018-07-31T01:30:53.025000Z,2018-07-31T01:30:52.585002Z,2018-07-31T01:30:55.248149Z,34.2953554541,8.00113627342,14.4521394502,12.6272158718
RSPN,EN,11,32.970412,35.54634,376.0,0.0,200.0,16.1749850126,,,2018-07-31T01:30:53.740000Z,2018-07-31T01:30:53.449660Z,2018-07-31T01:30:56.078221Z,39.1197737925,8.65240185949,17.9692483513,16.5025747759
ENGV,EN,13,32.781511,35.638451,-172.0,0.0,200.0,7.0073861398,,,2018-07-31T01:30:53.555000Z,2018-07-31T01:30:52.481243Z,2018-07-31T01:30:54.487250Z,18.1218311091,17.2712982,13.1557120555,12.5466135052
KNHM,EN,15,32.88375,35.579223,-174.0,0.0,200.0,6.09954737405,,,2018-07-31T01:30:51.810000Z,2018-07-31T01:30:51.720344Z,2018-07-31T01:30:53.449660Z,29.4849970641,11.7265524469,11.4507418039,9.64655857688
TVR,EN,16,32.781325,35.539679,-127.0,0.0,200.0,7.14637577018,,,2018-07-31T01:30:52.200000Z,2018-07-31T01:30:52.135380Z,2018-07-31T01:30:54.106800Z,18.0940195936,8.03747193152,12.3637540395,10.6310701814
ALMT,EN,17,32.707982,35.546817,64.0,0.0,200.0,14.1214804948,,,2018-07-31T01:30:55.635000Z,2018-07-31T01:30:53.276729Z,2018-07-31T01:30:55.697771Z,9.93886584077,8.70782780003,17.644806406,16.7211706179
