station,channel,Unnamed: 0,lat,lon,elevation,local_depth,sampling_rate,cat_tp,cat_ts,cat_distance,tp_sta_lta,tp,ts,y,x,pp_distance,ps_distance
ZEFT,EN,0,32.968786,35.493747,803.0,0.0,200.0,13.279527879,,,2018-07-04T01:54:31.275000Z,2018-07-04T01:54:29.796966Z,2018-07-04T01:54:32.929932Z,38.9382952184,5.0,14.495390269,17.1661605111
MNHM,EN,1,32.663572,35.552345,-132.0,0.0,200.0,23.1094941055,,,2018-07-04T01:54:32.795000Z,2018-07-04T01:54:30.755285Z,2018-07-04T01:54:34.441127Z,5.0015138818,10.4853604429,22.0609967399,22.9553100324
RMOT,EN,2,32.851506,35.664467,12.0,0.0,200.0,8.65201023926,,,2018-07-04T01:54:28.735000Z,2018-07-04T01:54:28.691214Z,2018-07-04T01:54:31.013294Z,25.9101807788,20.9474352175,9.87238199077,14.3343287019
SPR,EN,3,32.864735,35.538822,-177.0,0.0,200.0,3.4084574505,,,2018-07-04T01:54:27.840000Z,2018-07-04T01:54:27.769753Z,2018-07-04T01:54:29.686391Z,27.3692313094,9.20995740835,5.04800569673,10.4325601381
MGDL,EN,4,32.840339,35.507188,-83.0,5.0,200.0,7.14143140687,,,2018-07-04T01:54:28.335000Z,2018-07-04T01:54:28.267342Z,2018-07-04T01:54:30.165551Z,24.6557003681,6.25571987595,7.27630058928,11.0520364079
SHGL,EN,5,32.685752,35.604253,-166.0,4.0,200.0,20.7343470515,,,2018-07-04T01:54:32.045000Z,2018-07-04T01:54:31.676746Z,2018-07-04T01:54:35.201363Z,7.47169054085,15.3419006931,19.8922133947,21.3037286026
GLHS,EN,7,32.713434,35.649608,356.0,2.0,200.0,18.8232993441,,,2018-07-04T01:54:31.355000Z,2018-07-04T01:54:30.718427Z,2018-07-04T01:54:33.925109Z,10.55511825,19.5820044023,18.1603393574,19.9694201617
HDNS,EN,8,32.927987,35.641179,0.0,0.0,200.0,8.90860557373,,,2018-07-04T01:54:29.175000Z,2018-07-04T01:54:29.059798Z,2018-07-04T01:54:31.658316Z,34.4112248334,18.7601802814,11.0955174574,15.5916479392
AMID,EN,10,32.927027,35.539343,274.0,6.0,200.0,7.09248328371,,,2018-07-04T01:54:28.815000Z,2018-07-04T01:54:28.709643Z,2018-07-04T01:54:30.736856Z,34.2958159394,9.25563076949,8.94603799192,13.1281756146
RSPN,EN,11,32.970412,35.54634,376.0,0.0,200.0,11.4141013058,,,2018-07-04T01:54:29.465000Z,2018-07-04T01:54:29.391524Z,2018-07-04T01:54:31.897896Z,39.1203171056,9.9062823729,13.1709170644,16.6142289301
ENGV,EN,13,32.781511,35.638451,-172.0,0.0,200.0,11.5569973645,,,2018-07-04T01:54:29.435000Z,2018-07-04T01:54:29.225661Z,2018-07-04T01:54:31.676746Z,18.1234660638,18.5278474286,11.5319503044,14.8691245053
KNHM,EN,14,32.88375,35.579223,-174.0,0.0,200.0,1.52832452157,,,2018-07-04T01:54:27.785000Z,2018-07-04T01:54:27.714466Z,2018-07-04T01:54:28.893935Z,29.4859300227,12.9816586221,5.1666933756,11.1337521478
TVR,EN,15,32.781325,35.539679,-127.0,0.0,200.0,10.4459688408,,,2018-07-04T01:54:28.640000Z,2018-07-04T01:54:28.617497Z,2018-07-04T01:54:30.441989Z,18.0944842073,9.29402476307,9.83826977542,12.6794248029
