,station,channel,lat,lon,elevation,local_depth,sampling_rate,cat_tp,cat_ts,cat_distance,tp_sta_lta,tp,ts
0,ZEFT,EN,32.968786,35.493747,803.0,0.0,200.0,14.8842739755,,,2018-07-10T19:25:25.295000Z,2018-07-10T19:25:24.791800Z,2018-07-10T19:25:27.800810Z
1,MNHM,EN,32.663572,35.552345,-132.0,0.0,200.0,21.9767184387,,,2018-07-10T19:25:25.215000Z,2018-07-10T19:25:25.103077Z,2018-07-10T19:25:28.596296Z
2,RMOT,EN,32.851506,35.664467,12.0,0.0,200.0,7.43594449435,,,2018-07-10T19:25:23.225000Z,2018-07-10T19:25:23.200829Z,2018-07-10T19:25:25.379768Z
3,SPR,EN,32.864735,35.538822,-177.0,0.0,200.0,4.39263213482,,,2018-07-10T19:25:22.835000Z,2018-07-10T19:25:22.751207Z,2018-07-10T19:25:24.203833Z
4,MGDL,EN,32.840339,35.507188,-83.0,5.0,200.0,7.60231961529,,,2018-07-10T19:25:23.140000Z,2018-07-10T19:25:23.097070Z,2018-07-10T19:25:24.757214Z
5,SHGL,EN,32.685752,35.604253,-166.0,4.0,200.0,19.3724193862,,,2018-07-10T19:25:25.460000Z,2018-07-10T19:25:25.241423Z,2018-07-10T19:25:28.838400Z
6,GLHS,HH,32.713434,35.649608,356.0,5.0,200.0,17.2893860101,,,2018-07-10T19:25:24.755000Z,2018-07-10T19:25:24.722628Z,2018-07-10T19:25:28.008328Z
7,GLHS,EN,32.713434,35.649608,356.0,2.0,200.0,17.2893860101,,,2018-07-10T19:25:24.730000Z,2018-07-10T19:25:24.688041Z,2018-07-10T19:25:27.904569Z
8,HDNS,EN,32.927987,35.641179,0.0,0.0,200.0,9.24918985002,,,2018-07-10T19:25:23.940000Z,2018-07-10T19:25:23.961729Z,2018-07-10T19:25:26.521116Z
9,HULT,EN,33.050382,35.610995,117.0,0.0,200.0,21.386830254,,,2018-07-10T19:25:26.225000Z,2018-07-10T19:25:25.898563Z,2018-07-10T19:25:30.221853Z
10,AMID,EN,32.927027,35.539343,274.0,6.0,200.0,8.67692142,,,2018-07-10T19:25:23.745000Z,2018-07-10T19:25:23.719624Z,2018-07-10T19:25:25.967735Z
11,RSPN,EN,32.970412,35.54634,376.0,0.0,200.0,12.887190628,,,2018-07-10T19:25:24.370000Z,2018-07-10T19:25:24.307592Z,2018-07-10T19:25:27.143670Z
12,CVYN,EN,32.595407,35.518607,323.0,2.0,200.0,29.9957968216,,,2018-07-10T19:25:26.510000Z,2018-07-10T19:25:26.382771Z,2018-07-10T19:25:30.982752Z
13,ENGV,EN,32.781511,35.638451,-172.0,0.0,200.0,9.96492925598,,,2018-07-10T19:25:23.560000Z,2018-07-10T19:25:23.477520Z,2018-07-10T19:25:26.209840Z
14,KNHM,EN,32.88375,35.579223,-174.0,0.0,200.0,2.78470413863,,,2018-07-10T19:25:22.720000Z,2018-07-10T19:25:22.716621Z,2018-07-10T19:25:24.238419Z
15,TVR,EN,32.781325,35.539679,-127.0,0.0,200.0,9.66067397459,,,2018-07-10T19:25:23.205000Z,2018-07-10T19:25:23.131657Z,2018-07-10T19:25:25.137663Z
