,station,channel,lat,lon,elevation,local_depth,sampling_rate,cat_tp,cat_ts,cat_distance,tp_sta_lta,tp,ts
0,ZEFT,EN,32.968786,35.493747,803.0,0.0,200.0,17.6674717557,,,2018-08-08T23:21:14.555000Z,2018-08-08T23:21:14.028869Z,2018-08-08T23:21:17.210811Z
1,MNHM,EN,32.663572,35.552345,-132.0,0.0,200.0,19.7588469413,,,2018-08-08T23:21:14.605000Z,2018-08-08T23:21:14.063455Z,2018-08-08T23:21:17.487501Z
2,RMOT,EN,32.851506,35.664467,12.0,0.0,200.0,6.31270298125,,,2018-08-08T23:21:12.170000Z,2018-08-08T23:21:12.126621Z,2018-08-08T23:21:14.098042Z
3,SPR,EN,32.864735,35.538822,-177.0,0.0,200.0,6.43532870759,,,2018-08-08T23:21:11.935000Z,2018-08-08T23:21:11.815344Z,2018-08-08T23:21:13.544660Z
4,MGDL,EN,32.840339,35.507188,-83.0,5.0,200.0,8.60379923142,,,2018-08-08T23:21:12.160000Z,2018-08-08T23:21:12.126621Z,2018-08-08T23:21:14.063455Z
5,SHGL,EN,32.685752,35.604253,-166.0,4.0,200.0,16.8075224421,,,2018-08-08T23:21:14.500000Z,2018-08-08T23:21:14.098042Z,2018-08-08T23:21:17.764192Z
6,GLHS,HH,32.713434,35.649608,356.0,5.0,200.0,14.5098730745,,,2018-08-08T23:21:13.650000Z,2018-08-08T23:21:13.544660Z,2018-08-08T23:21:16.588257Z
7,GLHS,EN,32.713434,35.649608,356.0,2.0,200.0,14.5098730745,,,2018-08-08T23:21:13.630000Z,2018-08-08T23:21:13.440901Z,2018-08-08T23:21:16.657430Z
8,HDNS,EN,32.927987,35.641179,0.0,0.0,200.0,10.8666813082,,,2018-08-08T23:21:13.010000Z,2018-08-08T23:21:12.991279Z,2018-08-08T23:21:15.619840Z
9,HULT,EN,33.050382,35.610995,117.0,0.0,200.0,23.7697767557,,,2018-08-08T23:21:15.135000Z,2018-08-08T23:21:14.789768Z,2018-08-08T23:21:19.320576Z
10,AMID,EN,32.927027,35.539343,274.0,6.0,200.0,11.4796961358,,,2018-08-08T23:21:12.810000Z,2018-08-08T23:21:12.818348Z,2018-08-08T23:21:15.170217Z
11,RSPN,EN,32.970412,35.54634,376.0,0.0,200.0,15.6499380897,,,2018-08-08T23:21:13.650000Z,2018-08-08T23:21:13.406315Z,2018-08-08T23:21:16.173221Z
12,CVYN,EN,32.595407,35.518607,323.0,2.0,200.0,27.8850913086,,,2018-08-08T23:21:15.655000Z,2018-08-08T23:21:15.412322Z,2018-08-08T23:21:19.735612Z
13,ENGV,EN,32.781511,35.638451,-172.0,0.0,200.0,7.16409976212,,,2018-08-08T23:21:12.970000Z,2018-08-08T23:21:12.264966Z,2018-08-08T23:21:14.132627Z
14,ZRT,EN,33.101487,35.290087,678.0,0.0,200.0,41.1997118253,,,2018-08-08T23:21:18.325000Z,2018-08-08T23:21:17.695019Z,2018-08-08T23:21:23.816798Z
15,MLDT,EN,32.588417,35.43804,90.0,0.0,200.0,31.4704464433,,,2018-08-08T23:21:16.185000Z,2018-08-08T23:21:15.861944Z,2018-08-08T23:21:20.980720Z
16,KNHM,EN,32.88375,35.579223,-174.0,0.0,200.0,5.53884762074,,,2018-08-08T23:21:11.765000Z,2018-08-08T23:21:11.746171Z,2018-08-08T23:21:13.406315Z
17,TVR,EN,32.781325,35.539679,-127.0,0.0,200.0,8.30915082638,,,2018-08-08T23:21:12.125000Z,2018-08-08T23:21:12.057448Z,2018-08-08T23:21:14.098042Z
18,ALMT,EN,32.707982,35.546817,64.0,0.0,200.0,15.1424265786,,,2018-08-08T23:21:13.405000Z,2018-08-08T23:21:13.337143Z,2018-08-08T23:21:15.412322Z
