station,channel,Unnamed: 0,lat,lon,elevation,local_depth,sampling_rate,cat_tp,cat_ts,cat_distance,tp_sta_lta,tp,ts,y,x,pp_distance,ps_distance
ZEFT,EN,0,32.968786,35.493747,803.0,0.0,200.0,15.2535119119,,,2018-07-27T11:56:40.610000Z,2018-07-27T11:56:40.533725Z,2018-07-27T11:56:43.093113Z,46.5179078625,5.0,12.8466218664,13.7554031773
MNHM,EN,1,32.663572,35.552345,-132.0,0.0,200.0,21.1361296068,2018-07-04T19:45:43.345001Z,,2018-07-27T11:56:37.960000Z,2018-07-27T11:56:43.611908Z,2018-07-27T11:56:46.447987Z,12.581124653,10.4853617374,23.6012020302,26.4505889111
RMOT,EN,2,32.851506,35.664467,12.0,0.0,200.0,7.89833959239,2018-07-04T19:45:41.602996Z,2018-07-04T19:45:43.578002Z,2018-07-27T11:56:39.870000Z,2018-07-27T11:56:39.876585Z,2018-07-27T11:56:42.525623Z,33.4897775925,20.9474597363,9.80421057692,16.2578786063
SPR,EN,3,32.864735,35.538822,-177.0,0.0,200.0,4.08251733714,2018-07-04T19:45:40.847000Z,2018-07-04T19:45:42.402999Z,2018-07-27T11:56:38.780000Z,2018-07-27T11:56:38.735236Z,2018-07-27T11:56:39.980344Z,34.9488428503,9.20996426338,4.29799207055,10.3884838482
MGDL,EN,4,32.840339,35.507188,-83.0,5.0,200.0,6.92183967314,2018-07-04T19:45:41.233001Z,2018-07-04T19:45:42.910003Z,2018-07-27T11:56:39.455000Z,2018-07-27T11:56:39.426963Z,2018-07-27T11:56:41.363797Z,32.235312914,6.25572170853,7.444289194,11.3740454012
SHGL,EN,5,32.685752,35.604253,-166.0,4.0,200.0,18.6512731131,2018-07-04T19:45:43.052001Z,,2018-07-27T11:56:43.150000Z,2018-07-27T11:56:42.781836Z,2018-07-27T11:56:48.004371Z,15.0512965275,15.3419047238,21.3899534067,25.0626205337
GLHS,EN,7,32.713434,35.649608,356.0,2.0,200.0,16.7525818421,2018-07-04T19:45:42.972000Z,2018-07-04T19:45:46.494003Z,2018-07-27T11:56:41.965000Z,2018-07-27T11:56:41.813419Z,2018-07-27T11:56:45.894605Z,18.1347176585,19.5820128844,19.5479493547,23.8219686524
HDNS,EN,8,32.927987,35.641179,0.0,0.0,200.0,10.1819656881,2018-07-04T19:45:42.301002Z,2018-07-04T19:45:44.750000Z,2018-07-27T11:56:39.870000Z,2018-07-27T11:56:39.807412Z,2018-07-27T11:56:41.965608Z,41.9908256917,18.7602087186,9.60984910448,15.1290652283
HULT,EN,9,33.050382,35.610995,117.0,0.0,200.0,22.223088436,,,,2018-07-27T11:56:42.678077Z,2018-07-27T11:56:45.825433Z,55.5970299572,15.9279488333,20.2757998398,22.3504061729
AMID,EN,10,32.927027,35.539343,274.0,6.0,200.0,9.13890660471,2018-07-04T19:45:41.749000Z,2018-07-04T19:45:43.414001Z,2018-07-27T11:56:39.315000Z,2018-07-27T11:56:39.288618Z,2018-07-27T11:56:41.052520Z,41.8754274563,9.25563953373,7.07106227258,10.931722904
RSPN,EN,11,32.970412,35.54634,376.0,0.0,200.0,13.5094879307,,,2018-07-27T11:56:39.985000Z,2018-07-27T11:56:39.980344Z,2018-07-27T11:56:42.332214Z,46.6999282514,9.90629395051,11.2701148036,13.7691279552
CVYN,EN,12,32.595407,35.518607,323.0,2.0,200.0,29.128132178,,,2018-07-27T11:56:44.130000Z,2018-07-27T11:56:43.715667Z,2018-07-27T11:56:48.834443Z,5.00027217763,7.32891868867,31.383908455,33.3987296602
ENGV,EN,13,32.781511,35.638451,-172.0,0.0,200.0,9.57927514661,2018-07-04T19:45:41.748001Z,2018-07-04T19:45:43.869003Z,2018-07-27T11:56:40.790000Z,2018-07-27T11:56:40.637484Z,2018-07-27T11:56:43.681081Z,25.7030673168,18.5278616705,12.5740533515,18.1237516996
KNHM,EN,14,32.88375,35.579223,-174.0,0.0,200.0,3.50503730744,2018-07-04T19:45:40.882003Z,2018-07-04T19:45:42.320999Z,2018-07-27T11:56:38.325000Z,2018-07-27T11:56:38.389373Z,2018-07-27T11:56:39.046513Z,37.0655387014,12.9816726702,3.53053977549,11.0811603308
TVR,EN,15,32.781325,35.539679,-127.0,0.0,200.0,8.73548048785,2018-07-04T19:45:41.328002Z,2018-07-04T19:45:43.361999Z,2018-07-27T11:56:40.385000Z,2018-07-27T11:56:40.049517Z,2018-07-27T11:56:42.505146Z,25.6740957037,9.29402927598,11.0409899302,15.165309745
ALMT,EN,16,32.707982,35.546817,64.0,0.0,200.0,16.3358786481,,,2018-07-27T11:56:41.830000Z,2018-07-27T11:56:41.432010Z,2018-07-27T11:56:44.608481Z,17.519026228,9.96541736194,18.7459533498,21.8589539593
