station,channel,Unnamed: 0,lat,lon,elevation,local_depth,sampling_rate,cat_tp,cat_ts,cat_distance,tp_sta_lta,tp,ts,y,x,pp_distance,ps_distance
ZEFT,EN,0,32.968786,35.493747,803.0,0.0,200.0,15.581220924,,,2018-07-04T03:57:43.200000Z,2018-07-04T03:57:43.106883Z,2018-07-04T03:57:46.157066Z,46.5179078625,5.0,16.1141234563,16.0570201947
MNHM,EN,1,32.663572,35.552345,-132.0,0.0,200.0,20.7110140822,,,2018-07-04T03:57:44.355000Z,2018-07-04T03:57:44.055937Z,2018-07-04T03:57:47.479983Z,12.581124653,10.4853617374,22.354793169,20.2994450042
RMOT,EN,2,32.851506,35.664467,12.0,0.0,200.0,7.96663712497,,,2018-07-04T03:57:42.060000Z,2018-07-04T03:57:42.049930Z,2018-07-04T03:57:44.263455Z,33.4897775925,20.9474597363,12.7743782238,13.3987947733
SPR,EN,3,32.864735,35.538822,-177.0,0.0,200.0,4.18899680326,,,2018-07-04T03:57:41.105000Z,2018-07-04T03:57:41.116100Z,2018-07-04T03:57:42.430380Z,34.9488428503,9.20996426338,8.50862423389,6.89857712441
MGDL,EN,4,32.840339,35.507188,-83.0,5.0,200.0,6.79327674707,,,2018-07-04T03:57:41.560000Z,2018-07-04T03:57:41.531135Z,2018-07-04T03:57:42.752959Z,32.235312914,6.25572170853,9.43816950393,6.71625773561
SHGL,EN,5,32.685752,35.604253,-166.0,4.0,200.0,18.2414692667,,,2018-07-04T03:57:44.635000Z,2018-07-04T03:57:44.574732Z,2018-07-04T03:57:48.898022Z,15.0512965275,15.3419047238,20.5524518995,18.990213784
GLHS,EN,7,32.713434,35.649608,356.0,2.0,200.0,16.3903112363,,,2018-07-04T03:57:43.660000Z,2018-07-04T03:57:43.744660Z,2018-07-04T03:57:47.410811Z,18.1347176585,19.5820128844,19.1168741486,18.2024718591
HDNS,EN,8,32.927987,35.641179,0.0,0.0,200.0,10.5661887362,,,2018-07-04T03:57:41.890000Z,2018-07-04T03:57:42.499553Z,2018-07-04T03:57:45.162700Z,41.9908256917,18.7602087186,14.0845154976,15.2357130549
HULT,EN,9,33.050382,35.610995,117.0,0.0,200.0,22.6482705831,,,2018-07-04T03:57:44.475000Z,2018-07-04T03:57:44.401800Z,2018-07-04T03:57:49.070954Z,55.5970299572,15.9279488333,24.0708758999,25.3796001631
AMID,EN,10,32.927027,35.539343,274.0,6.0,200.0,9.49925170457,,,2018-07-04T03:57:42.020000Z,2018-07-04T03:57:42.049930Z,2018-07-04T03:57:44.332628Z,41.8754274563,9.25563953373,11.6022514366,11.5234992924
RSPN,EN,11,32.970412,35.54634,376.0,0.0,200.0,13.9054793264,,,2018-07-04T03:57:42.720000Z,2018-07-04T03:57:42.637898Z,2018-07-04T03:57:45.508563Z,46.6999282514,9.90629395051,15.3689290078,15.8728633767
CVYN,EN,12,32.595407,35.518607,323.0,2.0,200.0,28.7035348074,,,2018-07-04T03:57:45.335000Z,2018-07-04T03:57:45.301045Z,2018-07-04T03:57:49.831853Z,5.00027217763,7.32891868867,29.6437314544,27.5285747889
ENGV,EN,13,32.781511,35.638451,-172.0,0.0,200.0,9.27347327281,,,2018-07-04T03:57:42.520000Z,2018-07-04T03:57:42.534139Z,2018-07-04T03:57:45.024354Z,25.7030673168,18.5278616705,13.5272057315,12.8728406756
KNHM,EN,14,32.88375,35.579223,-174.0,0.0,200.0,3.92522024987,,,2018-07-04T03:57:41.075000Z,2018-07-04T03:57:41.046927Z,2018-07-04T03:57:42.464966Z,37.0655387014,12.9816726702,9.17996070332,8.9614502952
TVR,EN,15,32.781325,35.539679,-127.0,0.0,200.0,8.33026990206,,,2018-07-04T03:57:40.750000Z,2018-07-04T03:57:41.807826Z,2018-07-04T03:57:43.675488Z,25.6740957037,9.29402927598,11.3381733189,8.72402621567
