station,channel,Unnamed: 0,lat,lon,elevation,local_depth,sampling_rate,cat_tp,cat_ts,cat_distance,tp_sta_lta,tp,ts,y,x,pp_distance,ps_distance
ZEFT,EN,0,32.968786,35.493747,803.0,0.0,200.0,17.1513606648,,,2018-07-09T05:26:45.650000Z,2018-07-09T05:26:43.182099Z,2018-07-09T05:26:45.817476Z,46.5179078625,5.0,13.4843083583,14.4410185451
MNHM,EN,1,32.663572,35.552345,-132.0,0.0,200.0,19.4333458165,,,2018-07-09T05:26:43.515000Z,2018-07-09T05:26:45.356745Z,2018-07-09T05:26:49.669180Z,12.581124653,10.4853617374,23.4628631834,25.805199844
RMOT,EN,2,32.851506,35.664467,12.0,0.0,200.0,7.44188163415,,,2018-07-09T05:26:42.610000Z,2018-07-09T05:26:42.555506Z,2018-07-09T05:26:44.803869Z,33.4897775925,20.9474597363,10.8914799011,15.5249087995
SPR,EN,3,32.864735,35.538822,-177.0,0.0,200.0,5.526800661,,,2018-07-09T05:26:41.420000Z,2018-07-09T05:26:41.357607Z,2018-07-09T05:26:42.961381Z,34.9488428503,9.20996426338,5.67015417645,10.2665578387
MGDL,EN,4,32.840339,35.507188,-83.0,5.0,200.0,7.47348183979,,,2018-07-09T05:26:42.095000Z,2018-07-09T05:26:41.984200Z,2018-07-09T05:26:43.974555Z,32.235312914,6.25572170853,7.96292954775,11.3165511847
GLHS,EN,7,32.713434,35.649608,356.0,2.0,200.0,14.8213022384,,,2018-07-09T05:26:44.565000Z,2018-07-09T05:26:44.490573Z,2018-07-09T05:26:48.397565Z,18.1347176585,19.5820128844,19.6831757796,22.9427802298
HDNS,EN,8,32.927987,35.641179,0.0,0.0,200.0,11.4218905661,,,2018-07-09T05:26:42.615000Z,2018-07-09T05:26:42.610793Z,2018-07-09T05:26:45.025020Z,41.9908256917,18.7602087186,10.9960593752,14.8388396602
AMID,EN,10,32.927027,35.539343,274.0,6.0,200.0,11.0681215935,,,2018-07-09T05:26:42.125000Z,2018-07-09T05:26:42.113205Z,2018-07-09T05:26:43.919267Z,41.8754274563,9.25563953373,8.27680176609,11.2222725503
RSPN,EN,11,32.970412,35.54634,376.0,0.0,200.0,15.4322632854,,,2018-07-09T05:26:42.845000Z,2018-07-09T05:26:42.795085Z,2018-07-09T05:26:45.062740Z,46.6999282514,9.90629395051,12.258439495,14.186896144
CVYN,EN,12,32.595407,35.518607,323.0,2.0,200.0,27.4957062647,,,,2018-07-09T05:26:46.591502Z,2018-07-09T05:26:51.346238Z,5.00027217763,7.32891868867,31.0884827014,32.816830125
ENGV,EN,13,32.781511,35.638451,-172.0,0.0,200.0,7.72535896387,,,2018-07-09T05:26:43.335000Z,2018-07-09T05:26:43.237386Z,2018-07-09T05:26:46.057055Z,25.7030673168,18.5278616705,13.1036079756,17.2891809936
KNHM,EN,14,32.88375,35.579223,-174.0,0.0,200.0,5.3710246718,,,2018-07-09T05:26:41.215000Z,2018-07-09T05:26:41.210174Z,2018-07-09T05:26:42.039488Z,37.0655387014,12.9816726702,5.62668341456,10.8151446824
TVR,EN,15,32.781325,35.539679,-127.0,0.0,200.0,7.50856018986,,,2018-07-09T05:26:42.955000Z,2018-07-09T05:26:42.518648Z,2018-07-09T05:26:44.822299Z,25.6740957037,9.29402927598,11.2547486871,14.6711820652
