Unnamed: 0,lat,lon,elevation,local_depth,sampling_rate,cat_tp,cat_ts,cat_distance,tp_sta_lta,tp,ts,y,x,pp_distance,ps_distance,max_amplitude,pp_magnitude,ps_magnitude
0,32.968786,35.493747,803.0,0.0,200.0,18.1636655253,,,2018-07-05T04:00:07.730000Z,2018-07-05T04:00:07.670074Z,2018-07-05T04:00:10.506153Z,46.5179078625,5.0,16.797788205499998,17.1090079221,3.1501991659477047e-06,1.6696682042175435,1.6752701591163435
1,32.663571999999995,35.552345,-132.0,0.0,200.0,18.0153483922,,,2018-07-05T04:00:08.495000Z,2018-07-05T04:00:08.500146Z,2018-07-05T04:00:12.200882Z,12.581124653,10.4853617374,22.4202822921,23.5373889634,4.035655619457213e-06,1.8784491844494133,1.8985571045328133
2,32.851506,35.664467,12.0,0.0,200.0,8.23966175488,,,2018-07-05T04:00:06.310000Z,2018-07-05T04:00:06.354834Z,2018-07-05T04:00:08.484116Z,33.4897775925,20.9474597363,11.5676171629,13.5570205038,6.914456300171747e-06,1.9169451494679166,1.9527544096041167
3,32.864734999999996,35.538821999999996,-177.0,0.0,200.0,6.15168041925,,,2018-07-05T04:00:05.830000Z,2018-07-05T04:00:05.767826Z,2018-07-05T04:00:07.462556Z,34.948842850300004,9.20996426338,8.98480076465,10.561970240800001,9.048994023836752e-06,1.987296719494951,2.015685770065651
4,32.840339,35.507188,-83.0,5.0,200.0,7.306270929289999,,,2018-07-05T04:00:06.270000Z,2018-07-05T04:00:06.252035Z,2018-07-05T04:00:08.050523Z,32.235312914,6.25572170853,10.330471339099999,11.608184957999999,4.037376814472457e-06,1.661017773101328,1.684016618241528
5,32.685752,35.604253,-166.0,4.0,200.0,15.4534820225,,,2018-07-05T04:00:09.080000Z,2018-07-05T04:00:08.776836Z,2018-07-05T04:00:12.892609Z,15.0512965275,15.3419047238,20.246349484,21.6120378859,5.393302152053029e-06,1.9652590467460582,1.9898414379802583
7,32.713434,35.649608,356.0,2.0,200.0,13.7462020155,,,2018-07-05T04:00:07.995000Z,2018-07-05T04:00:08.015937Z,2018-07-05T04:00:11.267052Z,18.134717658499998,19.5820128844,18.4270725799,19.9701546925,1.2426125812677825e-06,1.2949930572406858,1.3227685352674858
8,32.927987,35.641179,0.0,0.0,200.0,12.8292001326,,,2018-07-05T04:00:06.850000Z,2018-07-05T04:00:06.840002Z,2018-07-05T04:00:09.226459Z,41.9908256917,18.760208718599998,13.285584276600002,14.6956629987,5.2957926933388325e-06,1.8320414973874817,1.8574229143852814
10,32.927027,35.539343,274.0,6.0,200.0,12.200448870299999,,,2018-07-05T04:00:06.550000Z,2018-07-05T04:00:06.597898Z,2018-07-05T04:00:08.638491Z,41.8754274563,9.255639533730001,11.9666809249,12.9052081029,1.9059963988237932e-06,1.364492336734358,1.381385825938358
11,32.970411999999996,35.54634,376.0,0.0,200.0,16.6810394957,,,2018-07-05T04:00:07.315000Z,2018-07-05T04:00:07.358797Z,2018-07-05T04:00:09.883599Z,46.6999282514,9.906293950510001,15.588147491500001,16.2145853767,9.119845391914975e-07,1.1095441350106303,1.1208200169442304
12,32.595407,35.518607,323.0,2.0,200.0,26.06957364,,,2018-07-05T04:00:09.800000Z,2018-07-05T04:00:09.676081Z,2018-07-05T04:00:14.725684Z,5.00027217763,7.32891868867,29.8555815233,30.694959876,9.295827527092408e-07,1.374658529064269,1.389767339412869
13,32.781511,35.638451,-172.0,0.0,200.0,6.99400727921,,,2018-07-05T04:00:06.890000Z,2018-07-05T04:00:06.805416Z,2018-07-05T04:00:09.018941Z,25.7030673168,18.5278616705,12.6850022094,14.6379900401,8.006213660412293e-07,1.0007272199692205,1.0358810009218204
14,32.88375,35.579223,-174.0,0.0,200.0,6.70210185709,,,2018-07-05T04:00:05.710000Z,2018-07-05T04:00:05.767826Z,2018-07-05T04:00:07.185866Z,37.0655387014,12.9816726702,8.979811441319999,10.7561441803,2.936168830212085e-06,1.4983876342490952,1.5303616235507351
15,32.781325,35.539679,-127.0,0.0,200.0,6.1872535184099995,,,2018-07-05T04:00:06.440000Z,2018-07-05T04:00:06.424966Z,2018-07-05T04:00:08.534732Z,25.674095703699997,9.29402927598,11.664970336800002,13.212541978199999,0.025931717276908895,5.492770748416909,5.520627037962109
