Unnamed: 0,lat,lon,elevation,local_depth,sampling_rate,cat_tp,cat_ts,cat_distance,tp_sta_lta,tp,ts,y,x,pp_distance,ps_distance,max_amplitude,pp_magnitude,ps_magnitude
0,32.968786,35.493747,803.0,0.0,200.0,17.1513606648,,,2018-07-09T05:26:45.650000Z,2018-07-09T05:26:43.182099Z,2018-07-09T05:26:45.817476Z,46.5179078625,5.0,13.4843083583,14.4410185451,2.5751586021307216e-05,2.5224915368651573,2.539712320227557
1,32.663571999999995,35.552345,-132.0,0.0,200.0,19.4333458165,,,2018-07-09T05:26:43.515000Z,2018-07-09T05:26:45.356745Z,2018-07-09T05:26:49.669180Z,12.581124653,10.4853617374,23.462863183400003,25.805199844,5.3445262350585186e-05,3.01921075490156,3.0613728147923602
2,32.851506,35.664467,12.0,0.0,200.0,7.44188163415,,,2018-07-09T05:26:42.610000Z,2018-07-09T05:26:42.555506Z,2018-07-09T05:26:44.803869Z,33.4897775925,20.9474597363,10.891479901099999,15.5249087995,0.00012787225149708744,3.1717929545939105,3.255194674765111
3,32.864734999999996,35.538821999999996,-177.0,0.0,200.0,5.526800661,,,2018-07-09T05:26:41.420000Z,2018-07-09T05:26:41.357607Z,2018-07-09T05:26:42.961381Z,34.948842850300004,9.20996426338,5.67015417645,10.2665578387,7.108214309825084e-05,2.822793292648108,2.905528558568608
4,32.840339,35.507188,-83.0,5.0,200.0,7.47348183979,,,2018-07-09T05:26:42.095000Z,2018-07-09T05:26:41.984200Z,2018-07-09T05:26:43.974555Z,32.235312914,6.25572170853,7.96292954775,11.3165511847,5.078482122127584e-05,2.718036664131506,2.778401853596606
7,32.713434,35.649608,356.0,2.0,200.0,14.8213022384,,,2018-07-09T05:26:44.565000Z,2018-07-09T05:26:44.490573Z,2018-07-09T05:26:48.397565Z,18.134717658499998,19.5820128844,19.6831757796,22.9427802298,5.4554538697763724e-05,2.960098056187713,3.018770936291313
8,32.927987,35.641179,0.0,0.0,200.0,11.421890566099998,,,2018-07-09T05:26:42.615000Z,2018-07-09T05:26:42.610793Z,2018-07-09T05:26:45.025020Z,41.9908256917,18.760208718599998,10.9960593752,14.8388396602,1.2074798213139068e-05,2.148778954902198,2.2179490000321977
10,32.927027,35.539343,274.0,6.0,200.0,11.068121593499999,,,2018-07-09T05:26:42.125000Z,2018-07-09T05:26:42.113205Z,2018-07-09T05:26:43.919267Z,41.8754274563,9.255639533730001,8.27680176609,11.2222725503,5.875902260080861e-05,2.787026999237632,2.840045473353412
11,32.970411999999996,35.54634,376.0,0.0,200.0,15.4322632854,,,2018-07-09T05:26:42.845000Z,2018-07-09T05:26:42.795085Z,2018-07-09T05:26:45.062740Z,46.6999282514,9.906293950510001,12.258439495,14.186896144,9.087335921872651e-06,2.0480584976970344,2.0827707173790344
12,32.595407,35.518607,323.0,2.0,200.0,27.495706264699997,,,,2018-07-09T05:26:46.591502Z,2018-07-09T05:26:51.346238Z,5.00027217763,7.32891868867,31.0884827014,32.816830125,1.14726480395305e-05,2.488226363366825,2.5193366169916254
13,32.781511,35.638451,-172.0,0.0,200.0,7.72535896387,,,2018-07-09T05:26:43.335000Z,2018-07-09T05:26:43.237386Z,2018-07-09T05:26:46.057055Z,25.7030673168,18.5278616705,13.1036079756,17.2891809936,1.323376692604873e-05,2.2265184294495004,2.3018587437735007
14,32.88375,35.579223,-174.0,0.0,200.0,5.3710246718,,,2018-07-09T05:26:41.215000Z,2018-07-09T05:26:41.210174Z,2018-07-09T05:26:42.039488Z,37.0655387014,12.9816726702,5.6266834145599995,10.8151446824,8.550399979303077e-06,1.9022367368702686,1.9956290396913885
15,32.781325,35.539679,-127.0,0.0,200.0,7.508560189860001,,,2018-07-09T05:26:42.955000Z,2018-07-09T05:26:42.518648Z,2018-07-09T05:26:44.822299Z,25.674095703699997,9.29402927598,11.254748687100001,14.6711820652,2.6609808802756074e-05,2.4965972347664325,2.558093035572232
