Unnamed: 0,lat,lon,elevation,local_depth,sampling_rate,cat_tp,cat_ts,cat_distance,tp_sta_lta,tp,ts,y,x,pp_distance,ps_distance,max_amplitude,pp_magnitude,ps_magnitude
0,32.968786,35.493747,803.0,0.0,200.0,17.6674717557,,,2018-08-08T23:21:14.555000Z,2018-08-08T23:21:14.028869Z,2018-08-08T23:21:17.210811Z,47.3134113659,23.9993696842,19.212980961,19.1719942894,0.0003954490834898364,3.8118942349723466,3.8111564748835463
1,32.663571999999995,35.552345,-132.0,0.0,200.0,19.7588469413,,,2018-08-08T23:21:14.605000Z,2018-08-08T23:21:14.063455Z,2018-08-08T23:21:17.487501Z,13.3871487305,29.549962189699997,21.2291199565,20.871468279800002,0.00028834638271009255,3.7110086711331234,3.7045709409525234
2,32.851506,35.664467,12.0,0.0,200.0,6.31270298125,,,2018-08-08T23:21:12.170000Z,2018-08-08T23:21:12.126621Z,2018-08-08T23:21:14.098042Z,34.3158883803,39.9718910769,13.602548821800001,12.1841338834,0.0012224711064760165,4.20105448634631,4.17552301745511
3,32.864734999999996,35.538821999999996,-177.0,0.0,200.0,6.435328707590001,,,2018-08-08T23:21:11.935000Z,2018-08-08T23:21:11.815344Z,2018-08-08T23:21:13.544660Z,35.7524305557,28.2316080758,11.209452016099998,10.642508913,0.0020489686598047976,4.382275456285223,4.372070480429422
4,32.840339,35.507188,-83.0,5.0,200.0,8.60379923142,,,2018-08-08T23:21:12.160000Z,2018-08-08T23:21:12.126621Z,2018-08-08T23:21:14.063455Z,33.0332310955,25.2825903503,11.6613653101,11.3994365825,0.0005111443692911392,3.787418160935582,3.7827034438387823
5,32.685752,35.604253,-166.0,4.0,200.0,16.8075224421,,,2018-08-08T23:21:14.500000Z,2018-08-08T23:21:14.098042Z,2018-08-08T23:21:17.764192Z,15.866627383099999,34.4017601428,19.3516444457,18.686917419500002,0.0007102115326965576,4.0686873246275255,4.056722238155925
7,32.713434,35.649608,356.0,2.0,200.0,14.5098730745,,,2018-08-08T23:21:13.630000Z,2018-08-08T23:21:13.440901Z,2018-08-08T23:21:16.657430Z,18.958178623,38.6359459696,17.9005816068,16.9509274311,0.00017814834629645675,3.4419622685244207,3.4248684933618208
8,32.927987,35.641179,0.0,0.0,200.0,10.866681308199999,,,2018-08-08T23:21:13.010000Z,2018-08-08T23:21:12.991279Z,2018-08-08T23:21:15.619840Z,42.8127546997,37.7682800271,16.2046132153,15.1855231965,0.0008555415235057394,4.092894134980158,4.074550514641757
9,33.050382,35.610995,117.0,0.0,200.0,23.7697767557,,,2018-08-08T23:21:15.135000Z,2018-08-08T23:21:14.789768Z,2018-08-08T23:21:19.320576Z,56.413538682399995,34.9097867623,26.6368301052,26.148546074000002,0.00015984211600635496,3.552124166384554,3.5433350538229544
10,32.927027,35.539343,274.0,6.0,200.0,11.4796961358,,,2018-08-08T23:21:12.810000Z,2018-08-08T23:21:12.818348Z,2018-08-08T23:21:15.170217Z,42.6791049614,28.263948440900002,14.724464193800001,14.3263169795,0.00014688986840234454,3.3010022015731675,3.2938355517157674
11,32.970411999999996,35.54634,376.0,0.0,200.0,15.6499380897,,,2018-08-08T23:21:13.650000Z,2018-08-08T23:21:13.406315Z,2018-08-08T23:21:16.173221Z,47.5048571856,28.905304975900002,18.3873500976,18.0389073948,0.00019677511366105374,3.493912478017921,3.487640509367521
12,32.595407,35.518607,323.0,2.0,200.0,27.8850913086,,,2018-08-08T23:21:15.655000Z,2018-08-08T23:21:15.412322Z,2018-08-08T23:21:19.735612Z,5.800249150190001,26.4080488938,28.2957562558,28.1615451161,9.875243949936546e-05,3.3728414498265304,3.3704256493119304
13,32.781511,35.638451,-172.0,0.0,200.0,7.16409976212,,,2018-08-08T23:21:12.970000Z,2018-08-08T23:21:12.264966Z,2018-08-08T23:21:14.132627Z,26.524521427399996,37.5672658042,13.2629200718,11.9996781951,0.00040492127459234824,3.7150731608590126,3.6923348070784128
14,33.101487,35.290087,678.0,0.0,200.0,41.1997118253,,,2018-08-08T23:21:18.325000Z,2018-08-08T23:21:17.695019Z,2018-08-08T23:21:23.816798Z,62.0508598154,5.0,40.8523765456,41.3140136702,0.001610687212057878,4.811323992801757,4.819633461044557
15,32.588417,35.43804,90.0,0.0,200.0,31.4704464433,,,2018-08-08T23:21:16.185000Z,2018-08-08T23:21:15.861944Z,2018-08-08T23:21:20.980720Z,5.00963937389,18.8615154994,31.2093007006,31.3332353381,0.0021346129414505683,4.76005655502852,4.762287378503519
16,32.88375,35.579223,-174.0,0.0,200.0,5.53884762074,,,2018-08-08T23:21:11.765000Z,2018-08-08T23:21:11.746171Z,2018-08-08T23:21:13.406315Z,37.8763670233,31.999236899099998,11.7969186675,10.904176977899999,,,
17,32.781325,35.539679,-127.0,0.0,200.0,8.30915082638,,,2018-08-08T23:21:12.125000Z,2018-08-08T23:21:12.057448Z,2018-08-08T23:21:14.098042Z,26.4778417863,28.3335048357,11.839488812899999,11.2991799605,,,
18,32.707982,35.546817,64.0,0.0,200.0,15.142426578599999,,,2018-08-08T23:21:13.405000Z,2018-08-08T23:21:13.337143Z,2018-08-08T23:21:15.412322Z,18.3240563794,29.0205486325,17.0105354032,16.6072488684,,,
