Unnamed: 0,lat,lon,elevation,local_depth,sampling_rate,cat_tp,cat_ts,cat_distance,tp_sta_lta,tp,ts,y,x,pp_distance,ps_distance,max_amplitude,pp_magnitude,ps_magnitude
0,32.968786,35.493747,803.0,0.0,200.0,15.8395604523,,,2018-07-04T01:50:10.630000Z,2018-07-04T01:50:10.795103Z,2018-07-04T01:50:13.610478Z,46.5179078625,5.0,16.360962426,15.4314188323,0.0031501238343794855,4.661794954660471,4.645063169973872
1,32.663571999999995,35.552345,-132.0,0.0,200.0,20.6895797624,,,2018-07-04T01:50:11.465000Z,2018-07-04T01:50:11.452250Z,2018-07-04T01:50:15.256745Z,12.581124653,10.4853617374,22.377899029899996,21.596822355500002,0.002792460792383649,4.71775927098202,4.70369989084282
2,32.851506,35.664467,12.0,0.0,200.0,7.59142184275,,,2018-07-04T01:50:09.545000Z,2018-07-04T01:50:09.550002Z,2018-07-04T01:50:11.867286Z,33.4897775925,20.9474597363,12.2841652818,14.0688122801,0.019126799161398537,5.371727277044099,5.403850923013499
3,32.864734999999996,35.538821999999996,-177.0,0.0,200.0,4.562950310490001,,,2018-07-04T01:50:08.635000Z,2018-07-04T01:50:08.754516Z,2018-07-04T01:50:10.172556Z,34.948842850300004,9.20996426338,8.66335827201,7.479854111880001,0.011781305358718339,5.09610386581236,5.07480079093002
4,32.840339,35.507188,-83.0,5.0,200.0,7.160635532100001,,,2018-07-04T01:50:09.095000Z,2018-07-04T01:50:09.134966Z,2018-07-04T01:50:11.037214Z,32.235312914,6.25572170853,9.772241479489999,7.5432275486,0.005088025628578687,4.751419641170536,4.711297390414515
5,32.685752,35.604253,-166.0,4.0,200.0,18.125479648,,,2018-07-04T01:50:11.595000Z,2018-07-04T01:50:11.763527Z,2018-07-04T01:50:16.259749Z,15.0512965275,15.3419047238,20.426815336700002,20.3261045198,0.008209014146512233,5.150943684478563,5.149130889774363
7,32.713434,35.649608,356.0,2.0,200.0,16.1755492457,,,2018-07-04T01:50:11.110000Z,2018-07-04T01:50:11.244732Z,2018-07-04T01:50:14.945468Z,18.134717658499998,19.5820128844,18.839028240799998,19.4746417804,0.0027891520259007313,4.653544699295882,4.664985743008682
8,32.927987,35.641179,0.0,0.0,200.0,10.4249272678,,,2018-07-04T01:50:09.860000Z,2018-07-04T01:50:09.965038Z,2018-07-04T01:50:12.731944Z,41.9908256917,18.760208718599998,13.743136141099999,15.230075393800002,0.0027545293821019767,4.556393864156115,4.583158770704715
9,33.050382,35.610995,117.0,0.0,200.0,22.6730947398,,,2018-07-04T01:50:11.895000Z,2018-07-04T01:50:11.936458Z,2018-07-04T01:50:16.536439Z,55.5970299572,15.927948833299999,23.9481225583,24.786582536799997,0.0012365131361041825,4.392234944837087,4.407327224450087
10,32.927027,35.539343,274.0,6.0,200.0,9.71919201644,,,2018-07-04T01:50:09.525000Z,2018-07-04T01:50:09.584589Z,2018-07-04T01:50:11.625181Z,41.8754274563,9.255639533730001,11.7137178886,11.236881090799999,0.0010876369854580057,4.116300893825918,4.107717831465518
11,32.970411999999996,35.54634,376.0,0.0,200.0,14.063586069500001,,,2018-07-04T01:50:10.230000Z,2018-07-04T01:50:10.345488Z,2018-07-04T01:50:12.593599Z,46.6999282514,9.906293950510001,15.426428103,15.357631661,0.0007502716855675593,4.0218642671509155,4.020625931194915
12,32.595407,35.518607,323.0,2.0,200.0,28.7109274058,,,2018-07-04T01:50:12.720000Z,2018-07-04T01:50:12.731944Z,2018-07-04T01:50:17.643202Z,5.00027217763,7.32891868867,29.7288136409,28.715980187399996,0.001151742405139902,4.465444006966498,4.447213004803498
13,32.781511,35.638451,-172.0,0.0,200.0,8.993512805489999,,,2018-07-04T01:50:09.890000Z,2018-07-04T01:50:09.965038Z,2018-07-04T01:50:12.559012Z,25.7030673168,18.5278616705,13.1826125123,14.0962154945,0.0038183504686588833,4.68813281731838,4.70457767099798
14,32.88375,35.579223,-174.0,0.0,200.0,4.01518549326,,,2018-07-04T01:50:08.600000Z,2018-07-04T01:50:08.616171Z,2018-07-04T01:50:10.068797Z,37.0655387014,12.9816726702,9.062428759289999,9.31533707881,0.007048256319958748,4.880175411436676,4.884727761188036
15,32.781325,35.539679,-127.0,0.0,200.0,8.44266154637,,,2018-07-04T01:50:09.320000Z,2018-07-04T01:50:09.411657Z,2018-07-04T01:50:11.417663Z,25.674095703699997,9.29402927598,11.4500766284,10.1584196189,0.0305974224274037,5.560756226053472,5.5375063998824725
