Unnamed: 0,lat,lon,elevation,local_depth,sampling_rate,distance_catalog,tp_catalog,ts_catalog,tp_sta_lta,tp,ts,y,x,pp_distance,ps_distance,max_amplitude,pp_magnitude,ps_magnitude
0,32.968786,35.493747,803.0,0.0,200.0,13.9385901486,,,,2018-07-07T02:07:48.868294Z,2018-07-07T02:07:51.945972Z,46.5179078625,5.0,18.4176142821,17.236764659400002,2.3596327902122137e-05,2.573331484047934,2.5520761908393346
1,32.663571999999995,35.552345,-132.0,0.0,200.0,21.971084623099998,,,,2018-07-07T02:07:49.476458Z,2018-07-07T02:07:52.941149Z,12.581124653,10.4853617374,22.3297204095,22.7002073448,1.726543752441643e-05,2.5080825600126566,2.514751324848057
2,32.851506,35.664467,12.0,0.0,200.0,8.94997852935,,,,2018-07-07T02:07:47.393958Z,2018-07-07T02:07:50.010905Z,33.4897775925,20.9474597363,13.1850691601,14.696242199999999,9.490953570045465e-05,3.0836110980417417,3.110812212759942
3,32.864734999999996,35.538821999999996,-177.0,0.0,200.0,2.8800341455000003,,,,2018-07-07T02:07:46.951656Z,2018-07-07T02:07:48.591856Z,34.948842850300004,9.20996426338,10.9720038932,10.4282202008,9.087922553765684e-05,3.0249306917885375,3.0151425853253375
4,32.840339,35.507188,-83.0,5.0,200.0,6.22362463326,,,,2018-07-07T02:07:47.393958Z,2018-07-07T02:07:49.513316Z,32.235312914,6.25572170853,11.8186255989,10.8456038474,3.0439753790653625e-05,2.5651464004751694,2.5476320089481694
5,32.685752,35.604253,-166.0,4.0,200.0,19.72080116,,,,2018-07-07T02:07:49.623892Z,2018-07-07T02:07:54.452344Z,15.0512965275,15.3419047238,20.3107172482,21.1741710322,2.052817066386776e-05,2.5469131644184513,2.5624553325304515
7,32.713434,35.649608,356.0,2.0,200.0,18.0100723574,,,,2018-07-07T02:07:49.015728Z,2018-07-07T02:07:52.332985Z,18.134717658499998,19.5820128844,18.6434439328,19.979202216300003,6.30616788659483e-06,2.0043175237411517,2.0283611728441517
8,32.927987,35.641179,0.0,0.0,200.0,10.056877991799999,,,,2018-07-07T02:07:48.094267Z,2018-07-07T02:07:50.637498Z,41.9908256917,18.760208718599998,15.2497486489,16.0106147448,2.326288956768548e-05,2.5101291390483036,2.5238247287745037
9,33.050382,35.610995,117.0,0.0,200.0,21.453529495999998,,,,2018-07-07T02:07:50.066193Z,2018-07-07T02:07:54.434672Z,55.5970299572,15.927948833299999,25.4710278885,25.4198578233,6.865688491862574e-06,2.1641326011754947,2.1632115400018948
10,32.927027,35.539343,274.0,6.0,200.0,7.8921403286,,,,2018-07-07T02:07:47.799400Z,2018-07-07T02:07:49.900330Z,41.8754274563,9.255639533730001,13.9538547999,13.276529538,1.1677615494652751e-05,2.1874935620005975,2.1753017072863976
11,32.970411999999996,35.54634,376.0,0.0,200.0,12.391370950399999,,,,2018-07-07T02:07:48.554998Z,2018-07-07T02:07:51.264091Z,46.6999282514,9.906293950510001,17.4290499128,16.8328263507,1.1368634847021608e-05,2.2384012202245445,2.2276691961067443
12,32.595407,35.518607,323.0,2.0,200.0,29.871957179200002,,,,2018-07-07T02:07:50.840219Z,2018-07-07T02:07:55.410663Z,5.00027217763,7.32891868867,29.4875237715,29.661534056700003,4.356080482936018e-06,2.0388413274050343,2.0419735125386342
13,32.781511,35.638451,-172.0,0.0,200.0,10.9190484703,,,,2018-07-07T02:07:47.762542Z,2018-07-07T02:07:49.918759Z,25.7030673168,18.5278616705,13.62171495,14.992843201800001,1.875074900290723e-05,2.387179493837495,2.411859802369895
14,32.88375,35.579223,-174.0,0.0,200.0,2.73167793776,,,,2018-07-07T02:07:46.841081Z,2018-07-07T02:07:48.260130Z,37.0655387014,12.9816726702,11.212929159100002,11.3470026044,0.00018993349410835987,3.349404287005643,3.351817609021043
15,32.781325,35.539679,-127.0,0.0,200.0,9.24374541084,,,,2018-07-07T02:07:47.486104Z,2018-07-07T02:07:49.494887Z,25.674095703699997,9.29402927598,12.5430493072,12.4680502306,7.24111809771905e-05,2.9545505224520348,2.9532005390732348
