,station,channel,lat,lon,elevation,local_depth,sampling_rate,cat_tp,cat_ts,cat_distance,tp_sta_lta,tp,ts
0,ZEFT,EN,32.968786,35.493747,803.0,0.0,200.0,15.2069529762,,,2018-07-08T12:52:23.645000Z,2018-07-08T12:52:22.068491Z,2018-07-08T12:52:24.835397Z
1,MNHM,EN,32.663572,35.552345,-132.0,0.0,200.0,21.0316292592,2018-07-04T19:51:28.579002Z,2018-07-04T19:51:31.844001Z,2018-07-08T12:52:22.650000Z,2018-07-08T12:52:22.552700Z,2018-07-08T12:52:26.357195Z
2,RMOT,EN,32.851506,35.664467,12.0,0.0,200.0,8.1174634832,2018-07-04T19:51:26.461997Z,2018-07-04T19:51:28.161003Z,2018-07-08T12:52:20.495000Z,2018-07-08T12:52:20.547013Z,2018-07-08T12:52:22.397045Z
3,SPR,EN,32.864735,35.538822,-177.0,0.0,200.0,3.906019493,2018-07-04T19:51:25.926002Z,,2018-07-08T12:52:19.950000Z,2018-07-08T12:52:19.889553Z,2018-07-08T12:52:21.480523Z
4,MGDL,EN,32.840339,35.507188,-83.0,5.0,200.0,6.69133034299,2018-07-04T19:51:26.386001Z,2018-07-04T19:51:27.697998Z,2018-07-08T12:52:20.405000Z,2018-07-08T12:52:20.408683Z,2018-07-08T12:52:22.242883Z
5,SHGL,EN,32.685752,35.604253,-166.0,4.0,200.0,18.6007432299,2018-07-04T19:51:28.649002Z,2018-07-04T19:51:30.471000Z,2018-07-08T12:52:23.530000Z,2018-07-08T12:52:22.621872Z,2018-07-08T12:52:26.426368Z
6,GLHS,HH,32.713434,35.649608,356.0,5.0,200.0,16.7665685568,2018-07-04T19:51:28.125999Z,2018-07-04T19:51:30.958999Z,2018-07-08T12:52:22.155000Z,2018-07-08T12:52:22.103077Z,2018-07-08T12:52:25.630882Z
7,GLHS,EN,32.713434,35.649608,356.0,2.0,200.0,16.7665685568,2018-07-04T19:51:28.125999Z,2018-07-04T19:51:30.958999Z,2018-07-08T12:52:22.165000Z,2018-07-08T12:52:22.033905Z,2018-07-08T12:52:25.146674Z
8,HDNS,EN,32.927987,35.641179,0.0,0.0,200.0,10.3717663655,2018-07-04T19:51:26.997001Z,,2018-07-08T12:52:21.020000Z,2018-07-08T12:52:20.961729Z,2018-07-08T12:52:23.486530Z
9,HULT,EN,33.050382,35.610995,117.0,0.0,200.0,22.3313022613,,,2018-07-08T12:52:23.785000Z,2018-07-08T12:52:23.002322Z,2018-07-08T12:52:27.256440Z
10,AMID,EN,32.927027,35.539343,274.0,6.0,200.0,9.12310218398,2018-07-04T19:51:26.652000Z,2018-07-04T19:51:28.660003Z,2018-07-08T12:52:20.715000Z,2018-07-08T12:52:20.754211Z,2018-07-08T12:52:22.829390Z
11,RSPN,EN,32.970412,35.54634,376.0,0.0,200.0,13.5377353076,,,2018-07-08T12:52:21.545000Z,2018-07-08T12:52:21.445937Z,2018-07-08T12:52:24.109084Z
12,CVYN,EN,32.595407,35.518607,323.0,2.0,200.0,29.0077733721,,,,2018-07-08T12:52:24.160575Z,2018-07-08T12:52:28.729443Z
13,ENGV,EN,32.781511,35.638451,-172.0,0.0,200.0,9.64219887868,2018-07-04T19:51:26.924003Z,2018-07-04T19:51:28.502998Z,2018-07-08T12:52:21.100000Z,2018-07-08T12:52:20.961729Z,2018-07-08T12:52:22.933149Z
14,KNHM,EN,32.88375,35.579223,-174.0,0.0,200.0,3.58708899231,2018-07-04T19:51:25.819000Z,2018-07-04T19:51:27.181999Z,2018-07-08T12:52:19.840000Z,2018-07-08T12:52:19.854966Z,2018-07-08T12:52:20.996315Z
15,TVR,EN,32.781325,35.539679,-127.0,0.0,200.0,8.57093457688,2018-07-04T19:51:26.570999Z,2018-07-04T19:51:27.605003Z,2018-07-08T12:52:20.580000Z,2018-07-08T12:52:20.512106Z,2018-07-08T12:52:22.656458Z
