,station,channel,lat,lon,elevation,local_depth,sampling_rate,cat_tp,cat_ts,cat_distance,tp_sta_lta,tp,ts
0,ZEFT,EN,32.968786,35.493747,803.0,0.0,200.0,17.1513606648,,,2018-07-09T05:26:45.650000Z,2018-07-09T05:26:43.182099Z,2018-07-09T05:26:45.817476Z
1,MNHM,EN,32.663572,35.552345,-132.0,0.0,200.0,19.4333458165,,,2018-07-09T05:26:43.515000Z,2018-07-09T05:26:45.356745Z,2018-07-09T05:26:49.669180Z
2,RMOT,EN,32.851506,35.664467,12.0,0.0,200.0,7.44188163415,,,2018-07-09T05:26:42.610000Z,2018-07-09T05:26:42.555506Z,2018-07-09T05:26:44.803869Z
3,SPR,EN,32.864735,35.538822,-177.0,0.0,200.0,5.526800661,,,2018-07-09T05:26:41.420000Z,2018-07-09T05:26:41.357607Z,2018-07-09T05:26:42.961381Z
4,MGDL,EN,32.840339,35.507188,-83.0,5.0,200.0,7.47348183979,,,2018-07-09T05:26:42.095000Z,2018-07-09T05:26:41.984200Z,2018-07-09T05:26:43.974555Z
5,SHGL,EN,32.685752,35.604253,-166.0,4.0,200.0,16.7725164094,,,2018-07-09T05:26:46.390000Z,,
6,GLHS,HH,32.713434,35.649608,356.0,5.0,200.0,14.8213022384,,,2018-07-09T05:26:44.515000Z,2018-07-09T05:26:44.453714Z,2018-07-09T05:26:48.157985Z
7,GLHS,EN,32.713434,35.649608,356.0,2.0,200.0,14.8213022384,,,2018-07-09T05:26:44.565000Z,2018-07-09T05:26:44.490573Z,2018-07-09T05:26:48.397565Z
8,HDNS,EN,32.927987,35.641179,0.0,0.0,200.0,11.4218905661,,,2018-07-09T05:26:42.615000Z,2018-07-09T05:26:42.610793Z,2018-07-09T05:26:45.025020Z
9,HULT,EN,33.050382,35.610995,117.0,0.0,200.0,23.9550909777,,,,,
10,AMID,EN,32.927027,35.539343,274.0,6.0,200.0,11.0681215935,,,2018-07-09T05:26:42.125000Z,2018-07-09T05:26:42.113205Z,2018-07-09T05:26:43.919267Z
11,RSPN,EN,32.970412,35.54634,376.0,0.0,200.0,15.4322632854,,,2018-07-09T05:26:42.845000Z,2018-07-09T05:26:42.795085Z,2018-07-09T05:26:45.062740Z
12,CVYN,EN,32.595407,35.518607,323.0,2.0,200.0,27.4957062647,,,,2018-07-09T05:26:46.591502Z,2018-07-09T05:26:51.346238Z
13,ENGV,EN,32.781511,35.638451,-172.0,0.0,200.0,7.72535896387,,,2018-07-09T05:26:43.335000Z,2018-07-09T05:26:43.237386Z,2018-07-09T05:26:46.057055Z
14,KNHM,EN,32.88375,35.579223,-174.0,0.0,200.0,5.3710246718,,,2018-07-09T05:26:41.215000Z,2018-07-09T05:26:41.210174Z,2018-07-09T05:26:42.039488Z
15,TVR,EN,32.781325,35.539679,-127.0,0.0,200.0,7.50856018986,,,2018-07-09T05:26:42.955000Z,2018-07-09T05:26:42.518648Z,2018-07-09T05:26:44.822299Z
