,station,channel,lat,lon,elevation,local_depth,sampling_rate,cat_tp,cat_ts,cat_distance,tp_sta_lta,tp,ts
0,ZEFT,EN,32.968786,35.493747,803.0,0.0,200.0,18.1636655253,,,2018-07-05T04:00:07.730000Z,2018-07-05T04:00:07.670074Z,2018-07-05T04:00:10.506153Z
1,MNHM,EN,32.663572,35.552345,-132.0,0.0,200.0,18.0153483922,,,2018-07-05T04:00:08.495000Z,2018-07-05T04:00:08.500146Z,2018-07-05T04:00:12.200882Z
2,RMOT,EN,32.851506,35.664467,12.0,0.0,200.0,8.23966175488,,,2018-07-05T04:00:06.310000Z,2018-07-05T04:00:06.354834Z,2018-07-05T04:00:08.484116Z
3,SPR,EN,32.864735,35.538822,-177.0,0.0,200.0,6.15168041925,,,2018-07-05T04:00:05.830000Z,2018-07-05T04:00:05.767826Z,2018-07-05T04:00:07.462556Z
4,MGDL,EN,32.840339,35.507188,-83.0,5.0,200.0,7.30627092929,,,2018-07-05T04:00:06.270000Z,2018-07-05T04:00:06.252035Z,2018-07-05T04:00:08.050523Z
5,SHGL,EN,32.685752,35.604253,-166.0,4.0,200.0,15.4534820225,,,2018-07-05T04:00:09.080000Z,2018-07-05T04:00:08.776836Z,2018-07-05T04:00:12.892609Z
6,GLHS,HH,32.713434,35.649608,356.0,5.0,200.0,13.7462020155,,,2018-07-05T04:00:08.005000Z,2018-07-05T04:00:07.946765Z,2018-07-05T04:00:11.232465Z
7,GLHS,EN,32.713434,35.649608,356.0,2.0,200.0,13.7462020155,,,2018-07-05T04:00:07.995000Z,2018-07-05T04:00:08.015937Z,2018-07-05T04:00:11.267052Z
8,HDNS,EN,32.927987,35.641179,0.0,0.0,200.0,12.8292001326,,,2018-07-05T04:00:06.850000Z,2018-07-05T04:00:06.840002Z,2018-07-05T04:00:09.226459Z
9,HULT,EN,33.050382,35.610995,117.0,0.0,200.0,25.3594388972,,,,,
10,AMID,EN,32.927027,35.539343,274.0,6.0,200.0,12.2004488703,,,2018-07-05T04:00:06.550000Z,2018-07-05T04:00:06.597898Z,2018-07-05T04:00:08.638491Z
11,RSPN,EN,32.970412,35.54634,376.0,0.0,200.0,16.6810394957,,,2018-07-05T04:00:07.315000Z,2018-07-05T04:00:07.358797Z,2018-07-05T04:00:09.883599Z
12,CVYN,EN,32.595407,35.518607,323.0,2.0,200.0,26.06957364,,,2018-07-05T04:00:09.800000Z,2018-07-05T04:00:09.676081Z,2018-07-05T04:00:14.725684Z
13,ENGV,EN,32.781511,35.638451,-172.0,0.0,200.0,6.99400727921,,,2018-07-05T04:00:06.890000Z,2018-07-05T04:00:06.805416Z,2018-07-05T04:00:09.018941Z
14,KNHM,EN,32.88375,35.579223,-174.0,0.0,200.0,6.70210185709,,,2018-07-05T04:00:05.710000Z,2018-07-05T04:00:05.767826Z,2018-07-05T04:00:07.185866Z
15,TVR,EN,32.781325,35.539679,-127.0,0.0,200.0,6.18725351841,,,2018-07-05T04:00:06.440000Z,2018-07-05T04:00:06.424966Z,2018-07-05T04:00:08.534732Z
