,station,channel,lat,lon,elevation,local_depth,sampling_rate,cat_tp,cat_ts,cat_distance,tp_sta_lta,tp,ts
0,ZEFT,EN,32.968786,35.493747,803.0,0.0,200.0,12.47734668,,,2018-07-05T16:51:41.860000Z,2018-07-05T16:51:41.431436Z,2018-07-05T16:51:44.582830Z
1,MNHM,EN,32.663572,35.552345,-132.0,0.0,200.0,23.3339920903,,,2018-07-05T16:51:42.215000Z,2018-07-05T16:51:41.965883Z,2018-07-05T16:51:46.223030Z
2,RMOT,EN,32.851506,35.664467,12.0,0.0,200.0,9.70995414775,,,2018-07-05T16:51:40.240000Z,2018-07-05T16:51:40.215108Z,2018-07-05T16:51:42.887343Z
3,SPR,EN,32.864735,35.538822,-177.0,0.0,200.0,2.51261652171,,,2018-07-05T16:51:39.350000Z,2018-07-05T16:51:39.275218Z,2018-07-05T16:51:40.749555Z
4,MGDL,EN,32.840339,35.507188,-83.0,5.0,200.0,6.42499900826,,,2018-07-05T16:51:39.730000Z,2018-07-05T16:51:39.699090Z,2018-07-05T16:51:41.376148Z
5,SHGL,EN,32.685752,35.604253,-166.0,4.0,200.0,21.1841171714,,,2018-07-05T16:51:42.610000Z,2018-07-05T16:51:42.325631Z,2018-07-05T16:51:46.545162Z
6,GLHS,HH,32.713434,35.649608,356.0,5.0,200.0,19.4931652941,,,2018-07-05T16:51:42.055000Z,2018-07-05T16:51:41.855308Z,2018-07-05T16:51:45.670154Z
7,GLHS,EN,32.713434,35.649608,356.0,2.0,200.0,19.4931652941,,,2018-07-05T16:51:41.995000Z,2018-07-05T16:51:41.910595Z,2018-07-05T16:51:45.576745Z
8,HDNS,EN,32.927987,35.641179,0.0,0.0,200.0,9.45239199134,,,2018-07-05T16:51:40.855000Z,2018-07-05T16:51:40.823272Z,2018-07-05T16:51:43.643589Z
9,HULT,EN,33.050382,35.610995,117.0,0.0,200.0,20.1885361523,,,,,
10,AMID,EN,32.927027,35.539343,274.0,6.0,200.0,6.4049881179,,,2018-07-05T16:51:40.445000Z,2018-07-05T16:51:40.380971Z,2018-07-05T16:51:42.776768Z
11,RSPN,EN,32.970412,35.54634,376.0,0.0,200.0,10.9312493225,,,2018-07-05T16:51:41.110000Z,2018-07-05T16:51:41.115110Z,2018-07-05T16:51:44.177388Z
12,CVYN,EN,32.595407,35.518607,323.0,2.0,200.0,31.1766299189,,,2018-07-05T16:51:43.445000Z,2018-07-05T16:51:43.366502Z,2018-07-05T16:51:48.416106Z
13,ENGV,EN,32.781511,35.638451,-172.0,0.0,200.0,12.3548377737,,,2018-07-05T16:51:40.590000Z,2018-07-05T16:51:40.490785Z,2018-07-05T16:51:43.123172Z
14,KNHM,EN,32.88375,35.579223,-174.0,0.0,200.0,1.86003106706,,,2018-07-05T16:51:39.370000Z,2018-07-05T16:51:39.404223Z,2018-07-05T16:51:40.971138Z
15,TVR,EN,32.781325,35.539679,-127.0,0.0,200.0,10.4609758748,,,2018-07-05T16:51:39.875000Z,2018-07-05T16:51:39.846524Z,2018-07-05T16:51:41.689445Z
