,station,channel,lat,lon,elevation,local_depth,sampling_rate,cat_tp,cat_ts,cat_distance,tp_sta_lta,tp,ts
0,ZEFT,EN,32.968786,35.493747,803.0,0.0,200.0,15.2535119119,,,2018-07-27T11:56:40.610000Z,2018-07-27T11:56:40.533725Z,2018-07-27T11:56:43.093113Z
1,MNHM,EN,32.663572,35.552345,-132.0,0.0,200.0,21.1361296068,2018-07-04T19:45:43.345001Z,,2018-07-27T11:56:37.960000Z,2018-07-27T11:56:43.611908Z,2018-07-27T11:56:46.447987Z
2,RMOT,EN,32.851506,35.664467,12.0,0.0,200.0,7.89833959239,2018-07-04T19:45:41.602996Z,2018-07-04T19:45:43.578002Z,2018-07-27T11:56:39.870000Z,2018-07-27T11:56:39.876585Z,2018-07-27T11:56:42.525623Z
3,SPR,EN,32.864735,35.538822,-177.0,0.0,200.0,4.08251733714,2018-07-04T19:45:40.847000Z,2018-07-04T19:45:42.402999Z,2018-07-27T11:56:38.780000Z,2018-07-27T11:56:38.735236Z,2018-07-27T11:56:39.980344Z
4,MGDL,EN,32.840339,35.507188,-83.0,5.0,200.0,6.92183967314,2018-07-04T19:45:41.233001Z,2018-07-04T19:45:42.910003Z,2018-07-27T11:56:39.455000Z,2018-07-27T11:56:39.426963Z,2018-07-27T11:56:41.363797Z
5,SHGL,EN,32.685752,35.604253,-166.0,4.0,200.0,18.6512731131,2018-07-04T19:45:43.052001Z,,2018-07-27T11:56:43.150000Z,2018-07-27T11:56:42.781836Z,2018-07-27T11:56:48.004371Z
6,GLHS,HH,32.713434,35.649608,356.0,5.0,200.0,16.7525818421,2018-07-04T19:45:42.972000Z,2018-07-04T19:45:46.494003Z,2018-07-27T11:56:41.985000Z,2018-07-27T11:56:41.848006Z,2018-07-27T11:56:45.721674Z
7,GLHS,EN,32.713434,35.649608,356.0,2.0,200.0,16.7525818421,2018-07-04T19:45:42.972000Z,2018-07-04T19:45:46.494003Z,2018-07-27T11:56:41.965000Z,2018-07-27T11:56:41.813419Z,2018-07-27T11:56:45.894605Z
8,HDNS,EN,32.927987,35.641179,0.0,0.0,200.0,10.1819656881,2018-07-04T19:45:42.301002Z,2018-07-04T19:45:44.750000Z,2018-07-27T11:56:39.870000Z,2018-07-27T11:56:39.807412Z,2018-07-27T11:56:41.965608Z
9,HULT,EN,33.050382,35.610995,117.0,0.0,200.0,22.223088436,,,,2018-07-27T11:56:42.678077Z,2018-07-27T11:56:45.825433Z
10,AMID,EN,32.927027,35.539343,274.0,6.0,200.0,9.13890660471,2018-07-04T19:45:41.749000Z,2018-07-04T19:45:43.414001Z,2018-07-27T11:56:39.315000Z,2018-07-27T11:56:39.288618Z,2018-07-27T11:56:41.052520Z
11,RSPN,EN,32.970412,35.54634,376.0,0.0,200.0,13.5094879307,,,2018-07-27T11:56:39.985000Z,2018-07-27T11:56:39.980344Z,2018-07-27T11:56:42.332214Z
12,CVYN,EN,32.595407,35.518607,323.0,2.0,200.0,29.128132178,,,2018-07-27T11:56:44.130000Z,2018-07-27T11:56:43.715667Z,2018-07-27T11:56:48.834443Z
13,ENGV,EN,32.781511,35.638451,-172.0,0.0,200.0,9.57927514661,2018-07-04T19:45:41.748001Z,2018-07-04T19:45:43.869003Z,2018-07-27T11:56:40.790000Z,2018-07-27T11:56:40.637484Z,2018-07-27T11:56:43.681081Z
14,KNHM,EN,32.88375,35.579223,-174.0,0.0,200.0,3.50503730744,2018-07-04T19:45:40.882003Z,2018-07-04T19:45:42.320999Z,2018-07-27T11:56:38.325000Z,2018-07-27T11:56:38.389373Z,2018-07-27T11:56:39.046513Z
15,TVR,EN,32.781325,35.539679,-127.0,0.0,200.0,8.73548048785,2018-07-04T19:45:41.328002Z,2018-07-04T19:45:43.361999Z,2018-07-27T11:56:40.385000Z,2018-07-27T11:56:40.049517Z,2018-07-27T11:56:42.505146Z
16,ALMT,EN,32.707982,35.546817,64.0,0.0,200.0,16.3358786481,,,2018-07-27T11:56:41.830000Z,2018-07-27T11:56:41.432010Z,2018-07-27T11:56:44.608481Z
