,station,channel,lat,lon,elevation,local_depth,sampling_rate,cat_tp,cat_ts,cat_distance,tp_sta_lta,tp,ts
0,ZEFT,EN,32.968786,35.493747,803.0,0.0,200.0,13.6755138407,,,2018-07-12T07:00:38.355000Z,2018-07-12T07:00:38.270528Z,2018-07-12T07:00:41.034909Z
1,MNHM,EN,32.663572,35.552345,-132.0,0.0,200.0,24.2286217896,,,,2018-07-12T07:00:39.929157Z,2018-07-12T07:00:44.352167Z
2,RMOT,EN,32.851506,35.664467,12.0,0.0,200.0,7.28585915819,,,2018-07-12T07:00:37.405000Z,2018-07-12T07:00:37.349068Z,2018-07-12T07:00:39.560573Z
3,SPR,EN,32.864735,35.538822,-177.0,0.0,200.0,5.33684922048,,,2018-07-12T07:00:36.475000Z,2018-07-12T07:00:36.446036Z,2018-07-12T07:00:37.809798Z
4,MGDL,EN,32.840339,35.507188,-83.0,5.0,200.0,9.12036950416,,,2018-07-12T07:00:37.165000Z,2018-07-12T07:00:37.127917Z,2018-07-12T07:00:38.970838Z
5,SHGL,EN,32.685752,35.604253,-166.0,4.0,200.0,21.4784587629,,,2018-07-12T07:00:40.750000Z,2018-07-12T07:00:40.518892Z,2018-07-12T07:00:45.513207Z
6,GLHS,HH,32.713434,35.649608,356.0,5.0,200.0,19.1106384322,,,2018-07-12T07:00:39.405000Z,2018-07-12T07:00:39.413139Z,2018-07-12T07:00:43.946725Z
7,GLHS,EN,32.713434,35.649608,356.0,2.0,200.0,19.1106384322,,,2018-07-12T07:00:39.395000Z,2018-07-12T07:00:39.357851Z,2018-07-12T07:00:43.799291Z
8,HDNS,EN,32.927987,35.641179,0.0,0.0,200.0,7.06068311952,,,2018-07-12T07:00:37.510000Z,2018-07-12T07:00:37.533360Z,2018-07-12T07:00:38.362674Z
9,HULT,EN,33.050382,35.610995,117.0,0.0,200.0,19.1598556262,,,2018-07-12T07:00:39.505000Z,2018-07-12T07:00:39.431568Z,2018-07-12T07:00:43.762433Z
10,AMID,EN,32.927027,35.539343,274.0,6.0,200.0,7.37798607212,,,2018-07-12T07:00:37.105000Z,2018-07-12T07:00:37.109488Z,2018-07-12T07:00:38.841834Z
11,RSPN,EN,32.970412,35.54634,376.0,0.0,200.0,11.1070932409,,,2018-07-12T07:00:37.780000Z,2018-07-12T07:00:37.791369Z,2018-07-12T07:00:40.058161Z
12,CVYN,EN,32.595407,35.518607,323.0,2.0,200.0,32.2701638035,,,2018-07-12T07:00:41.350000Z,2018-07-12T07:00:41.219202Z,2018-07-12T07:00:46.489955Z
13,ENGV,EN,32.781511,35.638451,-172.0,0.0,200.0,11.5946094607,,,2018-07-12T07:00:38.390000Z,2018-07-12T07:00:38.086236Z,2018-07-12T07:00:40.942764Z
14,KNHM,EN,32.88375,35.579223,-174.0,0.0,200.0,1.44614607272,,,2018-07-12T07:00:36.090000Z,2018-07-12T07:00:36.077453Z,2018-07-12T07:00:37.054200Z
15,TVR,EN,32.781325,35.539679,-127.0,0.0,200.0,11.9382321906,,,2018-07-12T07:00:37.655000Z,2018-07-12T07:00:37.533360Z,2018-07-12T07:00:39.837011Z
