,station,channel,lat,lon,elevation,local_depth,sampling_rate,cat_tp,cat_ts,cat_distance,tp_sta_lta,tp,ts
0,ZEFT,EN,32.968786,35.493747,803.0,0.0,200.0,14.7427736295,,,2018-07-08T18:36:57.545000Z,2018-07-08T18:36:55.428041Z,2018-07-08T18:36:57.399462Z
1,MNHM,EN,32.663572,35.552345,-132.0,0.0,200.0,21.0853757243,2018-07-04T03:57:43.962001Z,2018-07-04T03:57:48.179000Z,2018-07-08T18:36:55.995000Z,2018-07-08T18:36:55.808491Z,2018-07-08T18:37:00.477645Z
2,RMOT,EN,32.851506,35.664467,12.0,0.0,200.0,8.83666493418,2018-07-04T03:57:41.907001Z,2018-07-04T03:57:43.936000Z,2018-07-08T18:36:53.700000Z,2018-07-08T18:36:53.664139Z,2018-07-08T18:36:55.704732Z
3,SPR,EN,32.864735,35.538822,-177.0,0.0,200.0,3.19816113311,2018-07-04T03:57:40.972999Z,2018-07-04T03:57:42.291999Z,2018-07-08T18:36:52.650000Z,2018-07-08T18:36:52.591963Z,2018-07-08T18:36:54.044589Z
4,MGDL,EN,32.840339,35.507188,-83.0,5.0,200.0,6.01351984659,2018-07-04T03:57:41.404998Z,2018-07-04T03:57:43.112998Z,2018-07-08T18:36:53.225000Z,2018-07-08T18:36:53.179930Z,2018-07-08T18:36:55.151351Z
5,SHGL,EN,32.685752,35.604253,-166.0,4.0,200.0,18.8315405718,2018-07-04T03:57:43.803001Z,2018-07-04T03:57:47.228000Z,2018-07-08T18:36:56.455000Z,2018-07-08T18:36:56.154354Z,2018-07-08T18:37:01.054271Z
6,GLHS,HH,32.713434,35.649608,356.0,5.0,200.0,17.1783946724,2018-07-04T03:57:43.540000Z,2018-07-04T03:57:46.945999Z,2018-07-08T18:36:55.465000Z,2018-07-08T18:36:55.393455Z,2018-07-08T18:36:59.267123Z
7,GLHS,EN,32.713434,35.649608,356.0,2.0,200.0,17.1783946724,2018-07-04T03:57:43.540000Z,2018-07-04T03:57:46.945999Z,2018-07-08T18:36:55.465000Z,2018-07-08T18:36:55.393455Z,2018-07-08T18:36:59.336296Z
8,HDNS,EN,32.927987,35.641179,0.0,0.0,200.0,10.7027571379,2018-07-04T03:57:42.277000Z,2018-07-04T03:57:45.029998Z,2018-07-08T18:36:53.990000Z,2018-07-08T18:36:54.010002Z,2018-07-08T18:36:56.569390Z
9,HULT,EN,33.050382,35.610995,117.0,0.0,200.0,22.3219995704,,,2018-07-08T18:36:56.050000Z,2018-07-08T18:36:55.808491Z,2018-07-08T18:37:00.062609Z
10,AMID,EN,32.927027,35.539343,274.0,6.0,200.0,8.75083914773,2018-07-04T03:57:41.901000Z,2018-07-04T03:57:44.208000Z,2018-07-08T18:36:53.475000Z,2018-07-08T18:36:53.560380Z,2018-07-08T18:36:55.566387Z
11,RSPN,EN,32.970412,35.54634,376.0,0.0,200.0,13.2805807841,,,2018-07-08T18:36:54.260000Z,2018-07-08T18:36:54.182934Z,2018-07-08T18:36:56.707735Z
12,CVYN,EN,32.595407,35.518607,323.0,2.0,200.0,29.0005058676,,,2018-07-08T18:36:57.235000Z,2018-07-08T18:36:57.122771Z,2018-07-08T18:37:02.379892Z
13,ENGV,EN,32.781511,35.638451,-172.0,0.0,200.0,10.1778823915,2018-07-04T03:57:42.333000Z,2018-07-04T03:57:44.894001Z,2018-07-08T18:36:54.275000Z,2018-07-08T18:36:54.148347Z,2018-07-08T18:36:56.776908Z
14,KNHM,EN,32.88375,35.579223,-174.0,0.0,200.0,3.56952414935,2018-07-04T03:57:40.973999Z,2018-07-04T03:57:42.154998Z,2018-07-08T18:36:52.510000Z,2018-07-08T18:36:52.488204Z,2018-07-08T18:36:53.560380Z
15,TVR,EN,32.781325,35.539679,-127.0,0.0,200.0,8.41527284173,2018-07-04T03:57:41.694000Z,2018-07-04T03:57:43.388000Z,2018-07-08T18:36:53.765000Z,2018-07-08T18:36:52.661135Z,2018-07-08T18:36:55.670146Z
