,station,channel,lat,lon,elevation,local_depth,sampling_rate,cat_tp,cat_ts,cat_distance,tp_sta_lta,tp,ts
0,ZEFT,EN,32.968786,35.493747,803.0,0.0,200.0,13.7747332992,,,2018-07-04T19:45:42.915000Z,2018-07-04T19:45:43.489423Z,2018-07-04T19:45:46.290662Z
1,MNHM,EN,32.663572,35.552345,-132.0,0.0,200.0,22.4987861129,,,2018-07-04T19:45:43.420000Z,2018-07-04T19:45:43.821148Z,2018-07-04T19:45:47.930862Z
2,RMOT,EN,32.851506,35.664467,12.0,0.0,200.0,8.54502303939,,,2018-07-04T19:45:41.620000Z,2018-07-04T19:45:41.664931Z,2018-07-04T19:45:43.729002Z
3,SPR,EN,32.864735,35.538822,-177.0,0.0,200.0,3.32472345547,,,2018-07-04T19:45:40.885000Z,2018-07-04T19:45:41.075196Z,2018-07-04T19:45:42.770683Z
4,MGDL,EN,32.840339,35.507188,-83.0,5.0,200.0,6.85501100531,,,2018-07-04T19:45:41.245000Z,2018-07-04T19:45:41.406922Z,2018-07-04T19:45:42.368018Z
5,SHGL,EN,32.685752,35.604253,-166.0,4.0,200.0,20.1318071444,,,2018-07-04T19:45:43.590000Z,2018-07-04T19:45:43.931724Z,2018-07-04T19:45:48.852322Z
6,GLHS,HH,32.713434,35.649608,356.0,5.0,200.0,18.2659796286,,,2018-07-04T19:45:43.075000Z,2018-07-04T19:45:44.521458Z,2018-07-04T19:45:47.087915Z
7,GLHS,EN,32.713434,35.649608,356.0,2.0,200.0,18.2659796286,,,2018-07-04T19:45:43.040000Z,2018-07-04T19:45:43.599998Z,2018-07-04T19:45:46.898826Z
8,HDNS,EN,32.927987,35.641179,0.0,0.0,200.0,9.37130589399,,,2018-07-04T19:45:42.215000Z,2018-07-04T19:45:42.475816Z,2018-07-04T19:45:45.055905Z
9,HULT,EN,33.050382,35.610995,117.0,0.0,200.0,20.8881173559,,,2018-07-04T19:45:44.150000Z,2018-07-04T19:45:44.263449Z,2018-07-04T19:45:48.741747Z
10,AMID,EN,32.927027,35.539343,274.0,6.0,200.0,7.62950201244,,,2018-07-04T19:45:41.840000Z,2018-07-04T19:45:41.978227Z,2018-07-04T19:45:44.300307Z
11,RSPN,EN,32.970412,35.54634,376.0,0.0,200.0,12.004741476,,,2018-07-04T19:45:42.490000Z,2018-07-04T19:45:43.065767Z,2018-07-04T19:45:45.264301Z
12,CVYN,EN,32.595407,35.518607,323.0,2.0,200.0,30.4346188706,,,2018-07-04T19:45:44.705000Z,2018-07-04T19:45:45.774644Z,2018-07-04T19:45:50.437234Z
13,ENGV,EN,32.781511,35.638451,-172.0,0.0,200.0,11.0499033391,,,2018-07-04T19:45:41.840000Z,2018-07-04T19:45:42.070373Z,2018-07-04T19:45:43.755324Z
14,KNHM,EN,32.88375,35.579223,-174.0,0.0,200.0,2.12668154277,,,2018-07-04T19:45:40.900000Z,2018-07-04T19:45:41.075196Z,2018-07-04T19:45:42.365241Z
15,TVR,EN,32.781325,35.539679,-127.0,0.0,200.0,9.8600028165,,,2018-07-04T19:45:41.365000Z,2018-07-04T19:45:41.425351Z,2018-07-04T19:45:43.470993Z
