,station,channel,lat,lon,elevation,local_depth,sampling_rate,cat_tp,cat_ts,cat_distance,tp_sta_lta,tp,ts
0,ZEFT,EN,32.968786,35.493747,803.0,0.0,200.0,13.279527879,,,2018-07-04T01:54:31.275000Z,2018-07-04T01:54:29.796966Z,2018-07-04T01:54:32.929932Z
1,MNHM,EN,32.663572,35.552345,-132.0,0.0,200.0,23.1094941055,,,2018-07-04T01:54:32.795000Z,2018-07-04T01:54:30.755285Z,2018-07-04T01:54:34.441127Z
2,RMOT,EN,32.851506,35.664467,12.0,0.0,200.0,8.65201023926,,,2018-07-04T01:54:28.735000Z,2018-07-04T01:54:28.691214Z,2018-07-04T01:54:31.013294Z
3,SPR,EN,32.864735,35.538822,-177.0,0.0,200.0,3.4084574505,,,2018-07-04T01:54:27.840000Z,2018-07-04T01:54:27.769753Z,2018-07-04T01:54:29.686391Z
4,MGDL,EN,32.840339,35.507188,-83.0,5.0,200.0,7.14143140687,,,2018-07-04T01:54:28.335000Z,2018-07-04T01:54:28.267342Z,2018-07-04T01:54:30.165551Z
5,SHGL,EN,32.685752,35.604253,-166.0,4.0,200.0,20.7343470515,,,2018-07-04T01:54:32.045000Z,2018-07-04T01:54:31.676746Z,2018-07-04T01:54:35.201363Z
6,GLHS,HH,32.713434,35.649608,356.0,5.0,200.0,18.8232993441,,,2018-07-04T01:54:32.005000Z,2018-07-04T01:54:30.478847Z,2018-07-04T01:54:33.943538Z
7,GLHS,EN,32.713434,35.649608,356.0,2.0,200.0,18.8232993441,,,2018-07-04T01:54:31.355000Z,2018-07-04T01:54:30.718427Z,2018-07-04T01:54:33.925109Z
8,HDNS,EN,32.927987,35.641179,0.0,0.0,200.0,8.90860557373,,,2018-07-04T01:54:29.175000Z,2018-07-04T01:54:29.059798Z,2018-07-04T01:54:31.658316Z
9,HULT,EN,33.050382,35.610995,117.0,0.0,200.0,20.2816208049,,,2018-07-04T01:54:31.955000Z,,
10,AMID,EN,32.927027,35.539343,274.0,6.0,200.0,7.09248328371,,,2018-07-04T01:54:28.815000Z,2018-07-04T01:54:28.709643Z,2018-07-04T01:54:30.736856Z
11,RSPN,EN,32.970412,35.54634,376.0,0.0,200.0,11.4141013058,,,2018-07-04T01:54:29.465000Z,2018-07-04T01:54:29.391524Z,2018-07-04T01:54:31.897896Z
12,CVYN,EN,32.595407,35.518607,323.0,2.0,200.0,31.040675391,,,2018-07-04T01:54:36.965000Z,,
13,ENGV,EN,32.781511,35.638451,-172.0,0.0,200.0,11.5569973645,,,2018-07-04T01:54:29.435000Z,2018-07-04T01:54:29.225661Z,2018-07-04T01:54:31.676746Z
14,KNHM,EN,32.88375,35.579223,-174.0,0.0,200.0,1.52832452157,,,2018-07-04T01:54:27.785000Z,2018-07-04T01:54:27.714466Z,2018-07-04T01:54:28.893935Z
15,TVR,EN,32.781325,35.539679,-127.0,0.0,200.0,10.4459688408,,,2018-07-04T01:54:28.640000Z,2018-07-04T01:54:28.617497Z,2018-07-04T01:54:30.441989Z
