,station,channel,lat,lon,elevation,local_depth,sampling_rate,cat_tp,cat_ts,cat_distance,tp_sta_lta,tp,ts
0,ZEFT,EN,32.968786,35.493747,803.0,0.0,200.0,15.7251687643,,,2018-07-13T06:06:48.160000Z,2018-07-13T06:06:48.046657Z,2018-07-13T06:06:50.329354Z
1,MNHM,EN,32.663572,35.552345,-132.0,0.0,200.0,20.4333936058,,,2018-07-13T06:06:50.850000Z,2018-07-13T06:06:50.087250Z,2018-07-13T06:06:54.445127Z
2,RMOT,EN,32.851506,35.664467,12.0,0.0,200.0,8.14200727562,,,2018-07-13T06:06:47.385000Z,2018-07-13T06:06:47.251171Z,2018-07-13T06:06:49.326351Z
3,SPR,EN,32.864735,35.538822,-177.0,0.0,200.0,4.16814973784,,,2018-07-13T06:06:46.635000Z,2018-07-13T06:06:46.628617Z,2018-07-13T06:06:48.150416Z
4,MGDL,EN,32.840339,35.507188,-83.0,5.0,200.0,6.60408875035,,,2018-07-13T06:06:47.385000Z,2018-07-13T06:06:47.389517Z,2018-07-13T06:06:49.706800Z
5,SHGL,EN,32.685752,35.604253,-166.0,4.0,200.0,18.0047652391,,,2018-07-13T06:06:51.675000Z,2018-07-13T06:06:49.926240Z,2018-07-13T06:06:54.893366Z
6,GLHS,HH,32.713434,35.649608,356.0,5.0,200.0,16.2181293084,,,2018-07-13T06:06:49.685000Z,2018-07-13T06:06:49.706800Z,2018-07-13T06:06:53.858110Z
7,GLHS,EN,32.713434,35.649608,356.0,2.0,200.0,16.2181293084,,,2018-07-13T06:06:49.775000Z,2018-07-13T06:06:49.568455Z,2018-07-13T06:06:53.684228Z
8,HDNS,EN,32.927987,35.641179,0.0,0.0,200.0,10.8719365604,,,2018-07-13T06:06:47.165000Z,2018-07-13T06:06:47.112826Z,2018-07-13T06:06:48.980488Z
9,HULT,EN,33.050382,35.610995,117.0,0.0,200.0,22.9277657912,,,,2018-07-13T06:06:49.084246Z,2018-07-13T06:06:52.923329Z
10,AMID,EN,32.927027,35.539343,274.0,6.0,200.0,9.67915029904,,,2018-07-13T06:06:46.930000Z,2018-07-13T06:06:46.905308Z,2018-07-13T06:06:48.461693Z
11,RSPN,EN,32.970412,35.54634,376.0,0.0,200.0,14.1256928347,,,2018-07-13T06:06:47.560000Z,2018-07-13T06:06:47.424103Z,2018-07-13T06:06:49.464696Z
12,CVYN,EN,32.595407,35.518607,323.0,2.0,200.0,28.4166963537,,,2018-07-13T06:06:58.440000Z,,2018-07-13T06:06:56.855102Z
13,ENGV,EN,32.781511,35.638451,-172.0,0.0,200.0,9.16456596245,,,2018-07-13T06:06:48.975000Z,2018-07-13T06:06:48.150416Z,2018-07-13T06:06:50.191009Z
14,KNHM,EN,32.88375,35.579223,-174.0,0.0,200.0,4.18859547602,,,2018-07-13T06:06:46.040000Z,2018-07-13T06:06:46.040650Z,2018-07-13T06:06:46.870722Z
15,TVR,EN,32.781325,35.539679,-127.0,0.0,200.0,8.02574668438,,,2018-07-13T06:06:45.300000Z,2018-07-13T06:06:48.754331Z,2018-07-13T06:06:50.564765Z
