,station,channel,lat,lon,elevation,local_depth,sampling_rate,cat_tp,cat_ts,cat_distance,tp_sta_lta,tp,ts
0,ZEFT,EN,32.968786,35.493747,803.0,0.0,200.0,17.8945187295,,,,,
1,MNHM,EN,32.663572,35.552345,-132.0,0.0,200.0,18.8021071029,,,2018-07-31T01:30:55.290000Z,2018-07-31T01:30:54.141387Z,2018-07-31T01:30:57.634605Z
2,RMOT,EN,32.851506,35.664467,12.0,0.0,200.0,7.36223057482,,,2018-07-31T01:30:52.270000Z,2018-07-31T01:30:52.169966Z,2018-07-31T01:30:53.553419Z
3,SPR,EN,32.864735,35.538822,-177.0,0.0,200.0,6.17559736207,,,2018-07-31T01:30:53.285000Z,2018-07-31T01:30:51.858689Z,2018-07-31T01:30:53.311315Z
4,MGDL,EN,32.840339,35.507188,-83.0,5.0,200.0,7.83480656414,,,2018-07-31T01:30:52.260000Z,2018-07-31T01:30:52.239139Z,2018-07-31T01:30:53.795523Z
5,SHGL,EN,32.685752,35.604253,-166.0,4.0,200.0,16.0565147351,,,,,
6,GLHS,HH,32.713434,35.649608,356.0,5.0,200.0,14.0712363643,,,2018-07-31T01:30:53.900000Z,2018-07-31T01:30:53.553419Z,2018-07-31T01:30:56.597016Z
7,GLHS,EN,32.713434,35.649608,356.0,2.0,200.0,14.0712363643,,,2018-07-31T01:30:53.945000Z,2018-07-31T01:30:53.449660Z,2018-07-31T01:30:56.493257Z
8,HDNS,EN,32.927987,35.641179,0.0,0.0,200.0,11.929712505,,,2018-07-31T01:30:53.165000Z,2018-07-31T01:30:52.965452Z,2018-07-31T01:30:55.594012Z
9,HULT,EN,33.050382,35.610995,117.0,0.0,200.0,24.6208759335,,,2018-07-31T01:30:50.605000Z,,
10,AMID,EN,32.927027,35.539343,274.0,6.0,200.0,11.8181056053,,,2018-07-31T01:30:53.025000Z,2018-07-31T01:30:52.585002Z,2018-07-31T01:30:55.248149Z
11,RSPN,EN,32.970412,35.54634,376.0,0.0,200.0,16.1749850126,,,2018-07-31T01:30:53.740000Z,2018-07-31T01:30:53.449660Z,2018-07-31T01:30:56.078221Z
12,CVYN,EN,32.595407,35.518607,323.0,2.0,200.0,26.8921664366,,,2018-07-31T01:31:00.310000Z,,
13,ENGV,EN,32.781511,35.638451,-172.0,0.0,200.0,7.0073861398,,,2018-07-31T01:30:53.555000Z,2018-07-31T01:30:52.481243Z,2018-07-31T01:30:54.487250Z
14,ZRT,EN,33.101487,35.290087,678.0,0.0,200.0,41.1930124062,,,,,
15,KNHM,EN,32.88375,35.579223,-174.0,0.0,200.0,6.09954737405,,,2018-07-31T01:30:51.810000Z,2018-07-31T01:30:51.720344Z,2018-07-31T01:30:53.449660Z
16,TVR,EN,32.781325,35.539679,-127.0,0.0,200.0,7.14637577018,,,2018-07-31T01:30:52.200000Z,2018-07-31T01:30:52.135380Z,2018-07-31T01:30:54.106800Z
17,ALMT,EN,32.707982,35.546817,64.0,0.0,200.0,14.1214804948,,,2018-07-31T01:30:55.635000Z,2018-07-31T01:30:53.276729Z,2018-07-31T01:30:55.697771Z
