,station,channel,lat,lon,elevation,local_depth,sampling_rate,cat_tp,cat_ts,cat_distance,tp_sta_lta,tp,ts
0,ZEFT,EN,32.968786,35.493747,803.0,0.0,200.0,15.581220924,,,2018-07-04T03:57:43.200000Z,2018-07-04T03:57:43.106883Z,2018-07-04T03:57:46.157066Z
1,MNHM,EN,32.663572,35.552345,-132.0,0.0,200.0,20.7110140822,,,2018-07-04T03:57:44.355000Z,2018-07-04T03:57:44.055937Z,2018-07-04T03:57:47.479983Z
2,RMOT,EN,32.851506,35.664467,12.0,0.0,200.0,7.96663712497,,,2018-07-04T03:57:42.060000Z,2018-07-04T03:57:42.049930Z,2018-07-04T03:57:44.263455Z
3,SPR,EN,32.864735,35.538822,-177.0,0.0,200.0,4.18899680326,,,2018-07-04T03:57:41.105000Z,2018-07-04T03:57:41.116100Z,2018-07-04T03:57:42.430380Z
4,MGDL,EN,32.840339,35.507188,-83.0,5.0,200.0,6.79327674707,,,2018-07-04T03:57:41.560000Z,2018-07-04T03:57:41.531135Z,2018-07-04T03:57:42.752959Z
5,SHGL,EN,32.685752,35.604253,-166.0,4.0,200.0,18.2414692667,,,2018-07-04T03:57:44.635000Z,2018-07-04T03:57:44.574732Z,2018-07-04T03:57:48.898022Z
6,GLHS,HH,32.713434,35.649608,356.0,5.0,200.0,16.3903112363,,,2018-07-04T03:57:43.655000Z,2018-07-04T03:57:43.640901Z,2018-07-04T03:57:47.549156Z
7,GLHS,EN,32.713434,35.649608,356.0,2.0,200.0,16.3903112363,,,2018-07-04T03:57:43.660000Z,2018-07-04T03:57:43.744660Z,2018-07-04T03:57:47.410811Z
8,HDNS,EN,32.927987,35.641179,0.0,0.0,200.0,10.5661887362,,,2018-07-04T03:57:41.890000Z,2018-07-04T03:57:42.499553Z,2018-07-04T03:57:45.162700Z
9,HULT,EN,33.050382,35.610995,117.0,0.0,200.0,22.6482705831,,,2018-07-04T03:57:44.475000Z,2018-07-04T03:57:44.401800Z,2018-07-04T03:57:49.070954Z
10,AMID,EN,32.927027,35.539343,274.0,6.0,200.0,9.49925170457,,,2018-07-04T03:57:42.020000Z,2018-07-04T03:57:42.049930Z,2018-07-04T03:57:44.332628Z
11,RSPN,EN,32.970412,35.54634,376.0,0.0,200.0,13.9054793264,,,2018-07-04T03:57:42.720000Z,2018-07-04T03:57:42.637898Z,2018-07-04T03:57:45.508563Z
12,CVYN,EN,32.595407,35.518607,323.0,2.0,200.0,28.7035348074,,,2018-07-04T03:57:45.335000Z,2018-07-04T03:57:45.301045Z,2018-07-04T03:57:49.831853Z
13,ENGV,EN,32.781511,35.638451,-172.0,0.0,200.0,9.27347327281,,,2018-07-04T03:57:42.520000Z,2018-07-04T03:57:42.534139Z,2018-07-04T03:57:45.024354Z
14,KNHM,EN,32.88375,35.579223,-174.0,0.0,200.0,3.92522024987,,,2018-07-04T03:57:41.075000Z,2018-07-04T03:57:41.046927Z,2018-07-04T03:57:42.464966Z
15,TVR,EN,32.781325,35.539679,-127.0,0.0,200.0,8.33026990206,,,2018-07-04T03:57:40.750000Z,2018-07-04T03:57:41.807826Z,2018-07-04T03:57:43.675488Z
